"TRANSNR","TRANSTYPE","KONTO","AFTALE","ARTNR","KANAL","PRISGRUPPE","VILKAR","BILAGSNR","BILAGSDATO","ANTAL","STKPRIS","STKAFREGNSATS","BELOEB","VALUTA","SKAT","AFREGNBATCH"
"17197","Bonus","AUTH-0734","AFT-2021-004","978-87-7774-821-9","Online","Lydbog","B","60244","12.01.2018","1390","106.17","0.1487","21944.60","DKK","0.00","6651"
"17198","Retur","AUTH-0734","AFT-2021-004","978-87-1748-638-6","Subskription","Indbundet","A","89415","22.01.2018","-1850","280.65","0.1177","-61110.13","DKK","0.00","6651"
"17199","Bonus","AUTH-0734","AFT-2021-004","978-87-9248-196-2","E-bog","Standard","D","59578","17.02.2018","841","332.35","0.1934","54056.53","DKK","0.00","6651"
"17200","Salg","AUTH-0734","AFT-2021-004","978-87-2356-309-5","Lydbog","Digital","A","81831","17.02.2018","966","233.38","0.2415","54444.99","DKK","0.00","6651"
"17201","Salg","AUTH-0734","AFT-2021-004","978-87-0617-339-6","Eksport","Digital","B","93714","11.02.2018","192","96.53","0.2393","4435.13","DKK","0.00","6651"
"17202","Salg","AUTH-0734","AFT-2021-004","978-87-8236-883-9","Online","Pocket","C","97668","21.02.2018","141","113.61","0.151","2418.87","DKK","0.00","6651"
"17203","GarGlobal","AUTH-0734","AFT-2021-004","978-87-0834-474-9","Online","Lydbog","B","77698","20.02.2018","525","332.45","0.1576","27506.91","NOK","0.00","6651"
"17204","Bonus","AUTH-0734","AFT-2021-004","978-87-2671-348-0","Online","Digital","B","84178","28.02.2018","1136","88.20","0.1954","19578.14","DKK","0.00","6651"
"17205","Salg","AUTH-0734","AFT-2021-004","978-87-2238-936-8","Bibliotek","Pocket","B","77191","22.01.2018","1792","305.44","0.2114","115709.47","DKK","0.00","6651"
"17206","Salg","AUTH-0734","AFT-2021-004","978-87-5057-251-0","Bibliotek","Lydbog","B","79733","28.02.2018","1617","262.17","0.1047","44385.35","DKK","0.00","6651"
"17207","Salg","AUTH-0734","AFT-2021-004","978-87-8257-065-2","Boghandel","Indbundet","D","79734","23.01.2018","860","168.52","0.0562","8144.91","DKK","0.00","6651"
"17208","FooBar","AUTH-0734","AFT-2021-004","978-87-1479-081-3","Online","Digital","A","86929","28.02.2018","-708","319.35","0.1763","-39861.39","DKK","0.00","6651"
"17209","Salg","AUTH-0734","AFT-2021-004","978-87-7172-442-4","E-bog","Standard","B","74175","25.01.2018","278","165.32","0.1821","8369.13","DKK","0.00","6651"
"17210","Salg","AUTH-0734","AFT-2021-004","978-87-0053-300-4","Eksport","Klassiker","A","94098","24.01.2018","744","225.48","0.1815","30447.92","DKK","0.00","6651"
"17211","Salg","AUTH-0734","AFT-2021-004","978-87-9929-010-9","Online","Pocket","C","78540","05.03.2018","1439","476.93","0.1667","114406.59","DKK","0.00","6651"
"17212","Royalty","AUTH-0734","AFT-2021-004","978-87-5291-877-4","Lydbog","Klassiker","A","53269","02.03.2018","432","180.45","0.2141","16690.04","DKK","0.00","6651"
"17213","Salg","AUTH-0734","AFT-2021-004","978-87-9517-076-4","Eksport","Special","A","72977","08.02.2018","905","558.05","0.1919","96916.26","DKK","0.00","6651"
"17214","Retur","AUTH-0734","AFT-2021-004","978-87-3215-632-5","Eksport","Special","A","94015","25.01.2018","-1855","435.92","0.2467","-199489.42","DKK","0.00","6651"
"17215","MISC","AUTH-0734","AFT-2021-004","978-87-2690-726-1","E-bog","Digital","D","82885","13.01.2018","1593","137.79","0.2371","52043.32","DKK","0.00","6651"
"17216","Salg","AUTH-0734","AFT-2021-004","978-87-4445-237-8","E-bog","Indbundet","C","75643","09.03.2018","1685","386.98","0.2281","148735.18","DKK","0.00","6651"
"17217","XYZ123","AUTH-0734","AFT-2021-004","978-87-5165-653-0","Lydbog","Klassiker","D","88192","06.03.2018","620","489.90","0.1002","30434.55","DKK","0.00","6651"
"17218","Salg","AUTH-0734","AFT-2021-004","978-87-3270-893-7","Subskription","Pocket","A","97528","04.03.2018","75","509.52","0.2399","9167.54","DKK","0.00","6651"
"17219","Salg","AUTH-0734","AFT-2021-004","978-87-4761-770-5","Eksport","Standard","C","74255","05.02.2018","1474","175.57","0.1566","40526.54","DKK","0.00","6651"
"17220","Salg","AUTH-0734","AFT-2021-004","978-87-0260-930-1","Bibliotek","Lydbog","C","62630","10.03.2018","553","329.66","0.0835","15222.22","DKK","0.00","6651"
"17221","MISC","AUTH-0734","AFT-2021-004","978-87-4834-918-6","Eksport","Standard","C","67430","27.01.2018","1137","298.91","0.195","66272.83","DKK","0.00","6651"
"17222","Salg","AUTH-0734","AFT-2021-004","978-87-3290-898-6","Eksport","Lydbog","D","73598","05.03.2018","1488","177.80","0.2179","57649.02","DKK","0.00","6651"
"17223","Forskud","AUTH-0734","AFT-2021-004","978-87-4110-588-8","Boghandel","Lydbog","B","86122","11.02.2018","1112","598.98","0.0855","56948.62","DKK","0.00","6651"
"17224","Royalty","AUTH-0734","AFT-2021-004","978-87-5667-684-7","Online","Indbundet","A","54776","10.01.2018","1401","44.88","0.0938","5897.85","DKK","0.00","6651"
"17225","Salg","AUTH-0734","AFT-2021-004","978-87-8344-093-0","Eksport","Special","A","92661","02.02.2018","332","577.11","0.0639","12243.27","DKK","0.00","6651"
