"TRANSNR";"TRANSTYPE";"KONTO";"AFTALE";"ARTNR";"KANAL";"PRISGRUPPE";"VILKAR";"BILAGSNR";"BILAGSDATO";"ANTAL";"STKPRIS";"STKAFREGNSATS";"BELOEB";"VALUTA";"SKAT";"AFREGNBATCH"
"17811";"Salg";"AUTH-0734";"AFT-2023-039";"978-87-1014-938-7";"Bibliotek";"Special";"B";"51139";"11-02-2020";"26";"44.13";"0.1666";"191.15";"DKK";"0.00";"8273"
"17812";"Retur";"AUTH-0734";"AFT-2023-039";"978-87-5708-841-0";"Subskription";"Special";"A";"53435";"28-12-2019";"-1421";"139.78";"0.2124";"-42188.46";"DKK";"0.00";"8273"
"17813";"Retur";"AUTH-0734";"AFT-2023-039";"978-87-0240-195-0";"Lydbog";"Lydbog";"A";"68230";"29-01-2020";"-250";"213.66";"0.1737";"-9278.19";"DKK";"0.00";"8273"
"17814";"Frieksp";"AUTH-0734";"AFT-2023-039";"978-87-0637-895-1";"Eksport";"Klassiker";"D";"81617";"30-12-2019";"1655";"457.09";"0.0818";"61880.39";"DKK";"0.00";"8273"
"17815";"Retur";"AUTH-0734";"AFT-2023-039";"978-87-0654-362-5";"Lydbog";"Special";"B";"71852";"08-01-2020";"-1961";"463.82";"0.1447";"-131612.03";"DKK";"0.00";"8273"
"17816";"Salg";"AUTH-0734";"AFT-2023-039";"978-87-9342-335-0";"Bibliotek";"Standard";"A";"78234";"19-01-2020";"742";"411.04";"0.0685";"20891.93";"DKK";"0.00";"8273"
"17817";"Bonus";"AUTH-0734";"AFT-2023-039";"978-87-0358-155-2";"Eksport";"Pocket";"C";"72857";"01-02-2020";"404";"552.93";"0.1165";"26024.20";"DKK";"0.00";"8273"
"17818";"ForskudMod";"AUTH-0734";"AFT-2023-039";"978-87-4497-985-1";"Eksport";"Special";"A";"99167";"13-01-2020";"1885";"351.42";"0.0776";"51404.31";"DKK";"0.00";"8273"
"17819";"Retur";"AUTH-0734";"AFT-2023-039";"978-87-8966-901-4";"Bibliotek";"Pocket";"B";"50671";"18-01-2020";"-331";"217.05";"0.0642";"-4612.36";"DKK";"0.00";"8273"
"17820";"Retur";"AUTH-0734";"AFT-2023-039";"978-87-4655-886-3";"Subskription";"Indbundet";"C";"88769";"20-01-2020";"-929";"521.17";"0.1427";"-69090.62";"DKK";"0.00";"8273"
"17821";"Retur";"AUTH-0734";"AFT-2023-039";"978-87-2097-824-3";"Lydbog";"Pocket";"C";"68898";"03-01-2020";"-1277";"435.33";"0.1106";"-61484.35";"DKK";"0.00";"8273"
"17822";"Salg";"AUTH-0734";"AFT-2023-039";"978-87-8096-418-7";"Bibliotek";"Digital";"A";"63343";"11-02-2020";"858";"578.88";"0.1298";"64468.94";"DKK";"0.00";"8273"
"17823";"Royalty";"AUTH-0734";"AFT-2023-039";"978-87-4893-070-4";"Eksport";"Klassiker";"B";"50047";"31-01-2020";"1882";"381.15";"0.0518";"37157.40";"DKK";"0.00";"8273"
"17824";"Salg";"AUTH-0734";"AFT-2023-039";"978-87-2804-895-5";"Lydbog";"Standard";"B";"75837";"29-12-2019";"1815";"296.49";"0.2055";"110585.58";"DKK";"0.00";"8273"
"17825";"Royalty";"AUTH-0734";"AFT-2023-039";"978-87-0752-658-0";"Lydbog";"Digital";"B";"77934";"24-12-2019";"277";"444.26";"0.1811";"22286.17";"DKK";"0.00";"8273"
"17826";"Salg";"AUTH-0734";"AFT-2023-039";"978-87-3622-149-4";"Subskription";"Lydbog";"B";"78390";"24-12-2019";"1886";"562.62";"0.1995";"211689.71";"SEK";"0.00";"8273"
