"TRANSNR";"TRANSTYPE";"KONTO";"AFTALE";"ARTNR";"KANAL";"PRISGRUPPE";"VILKAR";"BILAGSNR";"BILAGSDATO";"ANTAL";"STKPRIS";"STKAFREGNSATS";"BELOEB";"VALUTA";"SKAT";"AFREGNBATCH"
"16653";"Royalty";"AUTH-1102";"AFT-2018-042";"978-87-4746-738-6";"Subskription";"Lydbog";"D";"62757";"06.07.2025";"1243";"265.62";"0.0541";"17861.96";"DKK";"0.00";"4402"
"16654";"Salg";"AUTH-1102";"AFT-2018-042";"978-87-1771-228-7";"Boghandel";"Special";"D";"57749";"20.07.2025";"102";"198.98";"0.1069";"2169.64";"DKK";"0.00";"4402"
"16655";"Retur";"AUTH-1102";"AFT-2018-042";"978-87-7299-895-4";"Eksport";"Digital";"A";"72758";"03.08.2025";"-696";"139.50";"0.1072";"-10408.26";"DKK";"0.00";"4402"
"16656";"Frieksp";"AUTH-1102";"AFT-2018-042";"978-87-8227-789-6";"Lydbog";"Digital";"B";"64987";"12.08.2025";"411";"176.98";"0.155";"11274.51";"DKK";"0.00";"4402"
"16657";"Salg";"AUTH-1102";"AFT-2018-042";"978-87-4890-001-1";"Online";"Pocket";"D";"86535";"16.07.2025";"1947";"368.62";"0.1653";"118636.33";"DKK";"0.00";"4402"
"16658";"Royalty";"AUTH-1102";"AFT-2018-042";"978-87-1473-322-3";"Subskription";"Lydbog";"D";"91743";"15.07.2025";"126";"410.78";"0.1985";"10274.02";"DKK";"0.00";"4402"
"16659";"Salg";"AUTH-1102";"AFT-2018-042";"978-87-4103-455-3";"Lydbog";"Klassiker";"C";"57009";"06.07.2025";"1957";"424.06";"0.2347";"194774.11";"DKK";"0.00";"4402"
"16660";"Salg";"AUTH-1102";"AFT-2018-042";"978-87-7300-229-2";"Bibliotek";"Pocket";"A";"81425";"18.07.2025";"8";"61.03";"0.1381";"67.43";"DKK";"0.00";"4402"
"16661";"Korrektion";"AUTH-1102";"AFT-2018-042";"978-87-4622-036-4";"Bibliotek";"Indbundet";"C";"96967";"02.08.2025";"1234";"371.92";"0.1683";"77241.16";"NOK";"0.00";"4402"
"16662";"Retur";"AUTH-1102";"AFT-2018-042";"978-87-2999-120-5";"Online";"Digital";"A";"65028";"07.07.2025";"-267";"326.90";"0.0603";"-5263.12";"DKK";"0.00";"4402"
"16663";"Salg";"AUTH-1102";"AFT-2018-042";"978-87-1166-289-2";"E-bog";"Special";"C";"65848";"15.08.2025";"1587";"115.66";"0.1645";"30194.37";"DKK";"0.00";"4402"
"16664";"Salg";"AUTH-1102";"AFT-2018-042";"978-87-5078-613-9";"Lydbog";"Standard";"C";"99106";"17.08.2025";"1391";"57.49";"0.1154";"9228.38";"DKK";"0.00";"4402"
"16665";"Retur";"AUTH-1102";"AFT-2018-042";"978-87-7692-099-9";"Boghandel";"Lydbog";"A";"99304";"29.08.2025";"-1662";"456.54";"0.1426";"-108200.53";"DKK";"0.00";"4402"
"16666";"Royalty";"AUTH-1102";"AFT-2018-042";"978-87-8525-946-2";"Lydbog";"Standard";"A";"78062";"08.08.2025";"405";"50.60";"0.1559";"3194.86";"DKK";"0.00";"4402"
"16667";"Salg";"AUTH-1102";"AFT-2018-042";"978-87-4341-349-3";"Eksport";"Klassiker";"D";"72015";"01.09.2025";"1971";"350.50";"0.1996";"137890.77";"DKK";"0.00";"4402"
"16668";"Retur";"AUTH-1102";"AFT-2018-042";"978-87-5289-216-6";"Bibliotek";"Klassiker";"C";"98697";"16.08.2025";"-1485";"308.42";"0.076";"-34808.28";"DKK";"0.00";"4402"
"16669";"Salg";"AUTH-1102";"AFT-2018-042";"978-87-8795-736-6";"Bibliotek";"Standard";"B";"70516";"01.08.2025";"1848";"166.01";"0.1779";"54577.31";"DKK";"0.00";"4402"
"16670";"Diverse";"AUTH-1102";"AFT-2018-042";"978-87-6689-676-1";"Bibliotek";"Pocket";"B";"55446";"29.07.2025";"1424";"462.29";"0.2237";"147261.92";"DKK";"0.00";"4402"
