"TRANSNR","TRANSTYPE","KONTO","AFTALE","ARTNR","KANAL","PRISGRUPPE","VILKAR","BILAGSNR","BILAGSDATO","ANTAL","STKPRIS","STKAFREGNSATS","BELOEB","VALUTA","SKAT","AFREGNBATCH"
"18041","Salg","AUTH-1102","AFT-2021-004","978-87-5748-825-8","Subskription","Digital","D","76143","05-03-2025","1404","381.67","0.0975","52246.81","DKK","0.00","3113"
"18042","Salg","AUTH-1102","AFT-2021-004","978-87-2572-238-4","Online","Digital","A","59653","26-02-2025","641","95.80","0.1","6140.78","DKK","0.00","3113"
"18043","GarGlobalMod","AUTH-1102","AFT-2021-004","978-87-3379-628-5","Subskription","Klassiker","C","96835","15-02-2025","1001","292.96","0.0723","21202.19","DKK","0.00","3113"
"18044","Forskud","AUTH-1102","AFT-2021-004","","Subskription","Lydbog","B","90056","30-01-2025","1004","458.40","0.2011","92552.98","DKK","0.00","3113"
"18045","Salg","AUTH-1102","AFT-2021-004","978-87-7454-143-1","Online","Digital","A","58085","26-02-2025","1825","350.93","0.2202","141026.48","DKK","0.00","3113"
"18046","Royalty","AUTH-1102","AFT-2021-004","978-87-7290-992-9","E-bog","Indbundet","D","73863","30-01-2025","1399","438.75","0.1804","110731.55","DKK","0.00","3113"
"18047","ForskudMod","AUTH-1102","AFT-2021-004","978-87-5662-830-3","Subskription","Pocket","D","80430","21-01-2025","919","151.93","0.1532","21390.35","DKK","0.00","3113"
"18048","Retur","AUTH-1102","AFT-2021-004","978-87-8252-822-6","Lydbog","Indbundet","A","83496","16-01-2025","-1925","215.26","0.2426","-100527.50","DKK","0.00","3113"
"18049","Salg","AUTH-1102","AFT-2021-004","978-87-8310-442-9","E-bog","Standard","C","64435","12-02-2025","492","569.98","0.1615","45289.47","DKK","0.00","3113"
"18050","Salg","AUTH-1102","AFT-2021-004","978-87-9034-467-2","Bibliotek","Klassiker","C","69786","02-03-2025","1862","125.40","0.1837","42892.99","NOK","0.00","3113"
"18051","GarGlobalMod","AUTH-1102","AFT-2021-004","978-87-1714-385-2","Subskription","Lydbog","D","93271","06-02-2025","1230","313.26","0.1205","46429.83","DKK","0.00","3113"
"18052","Retur","AUTH-1102","AFT-2021-004","978-87-4812-043-3","Lydbog","Klassiker","C","51159","09-02-2025","-180","376.70","0.2274","-15419.08","DKK","0.00","3113"
"18053","Salg","AUTH-1102","AFT-2021-004","978-87-3736-180-9","Eksport","Indbundet","C","88958","13-01-2025","293","402.38","0.2475","29179.59","DKK","0.00","3113"
"18054","Salg","AUTH-1102","AFT-2021-004","978-87-2103-113-8","Online","Special","B","59157","28-01-2025","1881","364.28","0.1683","115320.96","DKK","0.00","3113"
"18055","Retur","AUTH-1102","AFT-2021-004","","Subskription","Pocket","C","83255","05-03-2025","-1523","442.67","0.0638","-43013.09","DKK","0.00","3113"
"18056","Royalty","AUTH-1102","AFT-2021-004","978-87-9225-755-0","Online","Standard","B","74203","22-02-2025","758","551.25","0.081","33845.65","SEK","0.00","3113"
"18057","Royalty","AUTH-1102","AFT-2021-004","978-87-5508-637-1","Lydbog","Digital","B","98580","13-02-2025","1634","258.09","0.174","73379.12","DKK","0.00","3113"
"18058","Salg","AUTH-1102","AFT-2021-004","978-87-3938-138-6","Boghandel","Standard","B","96193","03-02-2025","41","135.80","0.0821","457.12","DKK","0.00","3113"
"18059","Salg","AUTH-1102","AFT-2021-004","","Online","Digital","A","57623","10-01-2025","1853","118.13","0.1571","34388.39","SEK","0.00","3113"
"18060","Salg","AUTH-1102","AFT-2021-004","978-87-7834-736-7","Online","Lydbog","B","93934","27-01-2025","1774","507.60","0.1321","118953.73","DKK","0.00","3113"
