"TRANSNR","TRANSTYPE","KONTO","AFTALE","ARTNR","KANAL","PRISGRUPPE","VILKAR","BILAGSNR","BILAGSDATO","ANTAL","STKPRIS","STKAFREGNSATS","BELOEB","VALUTA","SKAT","AFREGNBATCH"
"16181","Salg","AUTH-1607","AFT-2025-050","978-87-1699-860-6","Online","Indbundet","D","96188","2026-06-24","1010","490.75","0.179","88722.69","DKK","0.00","9755"
"16182","Salg","AUTH-1607","AFT-2025-050","978-87-0595-325-8","Subskription","Standard","B","51782","2026-06-05","1434","37.00","0.1847","9799.81","DKK","0.00","9755"
"16183","Salg","AUTH-1607","AFT-2025-050","978-87-2696-682-4","E-bog","Pocket","D","79945","2026-05-20","1507","199.90","0.1684","50730.38","DKK","0.00","9755"
"16184","Salg","AUTH-1607","AFT-2025-050","978-87-7692-465-2","Eksport","Klassiker","B","71741","2026-06-20","1084","550.40","0.0618","36871.96","DKK","0.00","9755"
"16185","Salg","AUTH-1607","AFT-2025-050","978-87-0407-844-0","Eksport","Pocket","A","65135","2026-06-26","493","298.22","0.0594","8733.13","DKK","0.00","9755"
"16186","Salg","AUTH-1607","AFT-2025-050","978-87-1204-080-4","Subskription","Digital","C","54639","2026-05-17","829","143.70","0.1398","16654.00","DKK","0.00","9755"
"16187","Retur","AUTH-1607","AFT-2025-050","978-87-5132-931-1","Lydbog","Special","A","86579","2026-05-09","-1798","79.44","0.2136","-30509.15","DKK","0.00","9755"
"16188","Salg","AUTH-1607","AFT-2025-050","978-87-3701-267-1","Bibliotek","Klassiker","B","67558","2026-06-10","1489","386.15","0.0537","30876.28","EUR","0.00","9755"
"16189","Salg","AUTH-1607","AFT-2025-050","978-87-2488-314-7","Bibliotek","Digital","B","94723","2026-06-15","562","417.75","0.1565","36742.37","DKK","0.00","9755"
"16190","Salg","AUTH-1607","AFT-2025-050","978-87-7949-800-6","Bibliotek","Digital","A","66571","2026-05-17","1306","265.07","0.1739","60200.95","DKK","0.00","9755"
"16191","Diverse","AUTH-1607","AFT-2025-050","","Subskription","Indbundet","D","81857","2026-05-04","442","83.60","0.0757","2797.21","DKK","0.00","9755"
"16192","Salg","AUTH-1607","AFT-2025-050","978-87-4727-122-8","E-bog","Digital","B","65014","2026-07-02","1914","578.31","0.1305","144448.54","DKK","0.00","9755"
"16193","Salg","AUTH-1607","AFT-2025-050","978-87-9869-350-5","Lydbog","Indbundet","A","50258","2026-05-26","299","333.53","0.2418","24113.62","DKK","0.00","9755"
"16194","Salg","AUTH-1607","AFT-2025-050","978-87-3536-866-4","Bibliotek","Special","D","54168","2026-05-29","883","489.43","0.195","84272.50","DKK","0.00","9755"
"16195","Salg","AUTH-1607","AFT-2025-050","","Online","Special","D","70681","2026-05-16","1592","478.68","0.208","158508.18","DKK","0.00","9755"
"16196","Salg","AUTH-1607","AFT-2025-050","978-87-0103-775-4","Subskription","Lydbog","D","93775","2026-05-30","1900","268.22","0.1562","79602.33","DKK","0.00","9755"
"16197","Retur","AUTH-1607","AFT-2025-050","978-87-3852-219-3","Lydbog","Digital","C","73606","2026-06-20","-928","271.17","0.2119","-53323.74","DKK","0.00","9755"
"16198","Afgift","AUTH-1607","AFT-2025-050","978-87-6457-002-1","Subskription","Standard","D","93455","2026-05-26","570","255.69","0.2382","34716.05","DKK","0.00","9755"
"16199","Retur","AUTH-1607","AFT-2025-050","978-87-1947-259-2","Eksport","Klassiker","A","81650","2026-06-23","-1518","194.45","0.153","-45161.79","DKK","0.00","9755"
"16200","Salg","AUTH-1607","AFT-2025-050","","Online","Special","C","51886","2026-05-30","1693","495.37","0.1453","121857.50","DKK","0.00","9755"
"16201","Retur","AUTH-1607","AFT-2025-050","978-87-6445-923-4","Boghandel","Special","A","97613","2026-06-03","-870","176.55","0.1632","-25067.28","DKK","0.00","9755"
"16202","Bonus","AUTH-1607","AFT-2025-050","978-87-1255-956-6","Bibliotek","Standard","B","84142","2026-05-07","1221","135.67","0.2096","34720.88","DKK","0.00","9755"
"16203","Salg","AUTH-1607","AFT-2025-050","978-87-5603-518-7","Subskription","Standard","C","90607","2026-05-18","444","298.62","0.2279","30216.64","DKK","0.00","9755"
"16204","Salg","AUTH-1607","AFT-2025-050","978-87-1504-854-8","Lydbog","Indbundet","D","52590","2026-06-09","1051","302.73","0.2214","70442.67","EUR","0.00","9755"
"16205","Salg","AUTH-1607","AFT-2025-050","","E-bog","Digital","A","68566","2026-06-08","826","244.23","0.0862","17389.47","DKK","0.00","9755"
"16206","Salg","AUTH-1607","AFT-2025-050","978-87-4307-141-9","Lydbog","Pocket","D","73953","2026-06-20","917","203.40","0.1768","32976.35","DKK","0.00","9755"
"16207","Salg","AUTH-1607","AFT-2025-050","","Lydbog","Klassiker","D","61004","2026-05-03","942","258.57","0.1043","25404.66","DKK","0.00","9755"
"16208","Royalty","AUTH-1607","AFT-2025-050","978-87-0498-611-0","Lydbog","Lydbog","C","94566","2026-05-31","213","284.57","0.1034","6267.43","DKK","0.00","9755"
