"TRANSNR";"TRANSTYPE";"KONTO";"AFTALE";"ARTNR";"KANAL";"PRISGRUPPE";"VILKAR";"BILAGSNR";"BILAGSDATO";"ANTAL";"STKPRIS";"STKAFREGNSATS";"BELOEB";"VALUTA";"SKAT";"AFREGNBATCH"
"18168";"Retur";"AUTH-0627";"AFT-2023-039";"978-87-3520-462-7";"Boghandel";"Lydbog";"D";"60813";"17-01-2024";"-456";"138.63";"0.136";"-8597.28";"DKK";"0.00";"4320"
"18169";"Salg";"AUTH-0627";"AFT-2023-039";"978-87-4843-757-9";"Boghandel";"Special";"C";"78061";"01-01-2024";"1278";"110.60";"0.1529";"21611.93";"DKK";"0.00";"4320"
"18170";"Salg";"AUTH-0627";"AFT-2023-039";"978-87-5759-418-8";"E-bog";"Pocket";"C";"97544";"11-01-2024";"973";"407.00";"0.1216";"48154.94";"DKK";"0.00";"4320"
"18171";"Salg";"AUTH-0627";"AFT-2023-039";"978-87-0774-802-9";"Online";"Klassiker";"A";"86646";"18-01-2024";"1140";"97.05";"0.1774";"19627.00";"DKK";"0.00";"4320"
"18172";"Retur";"AUTH-0627";"AFT-2023-039";"978-87-3227-522-4";"Bibliotek";"Standard";"A";"52129";"14-01-2024";"-1584";"530.69";"";"-186027.65";"DKK";"0.00";"4320"
"18173";"Salg";"AUTH-0627";"AFT-2023-039";"978-87-5436-711-2";"Eksport";"Pocket";"A";"56907";"10-12-2023";"204";"309.58";"0.1374";"8677.40";"DKK";"0.00";"4320"
"18174";"Royalty";"AUTH-0627";"AFT-2023-039";"978-87-9088-987-6";"Boghandel";"Special";"A";"69650";"02-01-2024";"587";"121.42";"0.1176";"8381.77";"DKK";"0.00";"4320"
"18175";"Salg";"AUTH-0627";"AFT-2023-039";"978-87-7816-471-1";"Lydbog";"Digital";"C";"62150";"21-12-2023";"1824";"62.89";"0.0707";"8110.09";"DKK";"0.00";"4320"
"18176";"Salg";"AUTH-0627";"AFT-2023-039";"978-87-4394-914-5";"Eksport";"Klassiker";"C";"80916";"21-01-2024";"1875";"132.26";"N/A";"40595.55";"DKK";"0.00";"4320"
"18177";"Salg";"AUTH-0627";"AFT-2023-039";"978-87-4285-095-4";"Online";"Indbundet";"C";"90130";"25-01-2024";"1271";"248.25";"0.0662";"20887.80";"DKK";"0.00";"4320"
"18178";"Salg";"AUTH-0627";"AFT-2023-039";"978-87-2844-610-2";"Lydbog";"Indbundet";"D";"76556";"07-12-2023";"1743";"559.43";"0.057";"55579.93";"DKK";"0.00";"4320"
"18179";"Salg";"AUTH-0627";"AFT-2023-039";"978-87-2468-473-7";"Boghandel";"Special";"C";"91221";"21-12-2023";"1574";"287.78";"0.0561";"25411.38";"DKK";"0.00";"4320"
"18180";"GarGlobalMod";"AUTH-0627";"AFT-2023-039";"978-87-2360-821-5";"Boghandel";"Special";"B";"54617";"30-11-2023";"1876";"485.95";"0.2126";"193815.13";"DKK";"0.00";"4320"
"18181";"Salg";"AUTH-0627";"AFT-2023-039";"978-87-6788-638-9";"Subskription";"Standard";"D";"59255";"31-12-2023";"238";"130.31";"0.1719";"5331.27";"DKK";"0.00";"4320"
"18182";"Salg";"AUTH-0627";"AFT-2023-039";"978-87-9679-020-6";"Boghandel";"Lydbog";"D";"93870";"20-01-2024";"1940";"519.68";"0.094";"94768.84";"DKK";"0.00";"4320"
"18183";"Retur";"AUTH-0627";"AFT-2023-039";"978-87-0529-687-4";"Online";"Lydbog";"D";"79307";"06-12-2023";"-1623";"543.04";"0.1496";"-131850.55";"DKK";"0.00";"4320"
"18184";"Salg";"AUTH-0627";"AFT-2023-039";"978-87-6207-174-2";"Boghandel";"Lydbog";"C";"84404";"27-12-2023";"1526";"213.12";"0.0987";"32099.32";"DKK";"0.00";"4320"
"18185";"GarGlobal";"AUTH-0627";"AFT-2023-039";"978-87-3547-909-4";"Online";"Klassiker";"D";"54961";"23-01-2024";"454";"159.28";"0.0926";"6696.19";"DKK";"0.00";"4320"
"18186";"Salg";"AUTH-0627";"AFT-2023-039";"978-87-6554-006-1";"Boghandel";"Indbundet";"B";"96306";"14-01-2024";"960";"548.12";"0.0637";"33518.63";"DKK";"0.00";"4320"
"18187";"Frieksp";"AUTH-0627";"AFT-2023-039";"978-87-5256-733-0";"Eksport";"Lydbog";"C";"90983";"28-12-2023";"1277";"67.71";"N/A";"14794.28";"DKK";"0.00";"4320"
"18188";"Diverse";"AUTH-0627";"AFT-2023-039";"978-87-9976-252-1";"Lydbog";"Digital";"C";"86365";"23-01-2024";"1216";"114.58";"0.2222";"30958.97";"DKK";"0.00";"4320"
"18189";"Salg";"AUTH-0627";"AFT-2023-039";"978-87-2072-179-5";"Eksport";"Digital";"B";"59751";"18-12-2023";"1344";"237.30";"0.1406";"44841.73";"DKK";"0.00";"4320"
"18190";"Retur";"AUTH-0627";"AFT-2023-039";"978-87-4830-233-4";"Bibliotek";"Klassiker";"A";"59065";"01-01-2024";"-448";"210.95";"0.1273";"-12030.56";"DKK";"0.00";"4320"
"18191";"GarGlobal";"AUTH-0627";"AFT-2023-039";"978-87-2445-512-2";"E-bog";"Indbundet";"B";"75832";"08-01-2024";"1773";"294.11";"0.1046";"54544.41";"DKK";"0.00";"4320"
"18192";"Salg";"AUTH-0627";"AFT-2023-039";"978-87-1366-410-8";"E-bog";"Digital";"A";"66120";"01-12-2023";"433";"260.00";"0.1838";"20692.20";"DKK";"0.00";"4320"
"18193";"Salg";"AUTH-0627";"AFT-2023-039";"978-87-4145-481-8";"Subskription";"Indbundet";"C";"99336";"18-12-2023";"1110";"339.25";"0.1896";"71397.20";"DKK";"0.00";"4320"
"18194";"Royalty";"AUTH-0627";"AFT-2023-039";"978-87-6984-857-6";"Subskription";"Indbundet";"C";"82318";"01-12-2023";"108";"340.72";"0.1453";"5346.71";"DKK";"0.00";"4320"
"18195";"Retur";"AUTH-0627";"AFT-2023-039";"978-87-0308-449-7";"Eksport";"Digital";"B";"50635";"23-12-2023";"-34";"579.08";"0.2368";"-4662.29";"DKK";"0.00";"4320"
"18196";"Bonus";"AUTH-0627";"AFT-2023-039";"978-87-6366-334-2";"E-bog";"Indbundet";"A";"63767";"26-01-2024";"846";"317.66";"0.1974";"53049.35";"DKK";"0.00";"4320"
"18197";"Diverse";"AUTH-0627";"AFT-2023-039";"978-87-5235-654-5";"Online";"Indbundet";"C";"96487";"14-01-2024";"1023";"230.56";"0.1824";"43021.39";"DKK";"0.00";"4320"
