"TRANSNR";"TRANSTYPE";"KONTO";"AFTALE";"ARTNR";"KANAL";"PRISGRUPPE";"VILKAR";"BILAGSNR";"BILAGSDATO";"ANTAL";"STKPRIS";"STKAFREGNSATS";"BELOEB";"VALUTA";"SKAT";"AFREGNBATCH"
"16957";"Retur";"AUTH-1607";"AFT-2023-002";"978-87-2591-543-4";"Online";"Digital";"D";"98638";"23-02-2024";"-401";"360.27";"0.102";"-14735.76";"DKK";"0.00";"3535"
"16958";"GarGlobalMod";"AUTH-1607";"AFT-2023-002";"978-87-0069-184-1";"E-bog";"Lydbog";"D";"82213";"10-02-2024";"1578";"535.72";"0";"92060.37";"DKK";"0.00";"3535"
"16959";"Salg";"AUTH-1607";"AFT-2023-002";"978-87-2918-844-5";"Lydbog";"Special";"D";"99561";"13-02-2024";"397";"508.96";"0.2315";"46776.22";"DKK";"0.00";"3535"
"16960";"Royalty";"AUTH-1607";"AFT-2023-002";"978-87-0932-234-0";"Eksport";"Pocket";"D";"64303";"11-03-2024";"1267";"456.90";"0";"130540.21";"DKK";"0.00";"3535"
"16961";"Salg";"AUTH-1607";"AFT-2023-002";"978-87-8832-452-5";"Online";"Indbundet";"A";"84577";"30-01-2024";"1304";"251.19";"0.1265";"41435.30";"DKK";"0.00";"3535"
"16962";"Salg";"AUTH-1607";"AFT-2023-002";"978-87-4749-465-8";"Boghandel";"Klassiker";"D";"63763";"07-03-2024";"1222";"570.07";"0.1211";"84361.35";"DKK";"0.00";"3535"
"16963";"Salg";"AUTH-1607";"AFT-2023-002";"978-87-8713-811-6";"Boghandel";"Special";"C";"89388";"18-03-2024";"1999";"86.70";"0.1084";"18787.16";"DKK";"0.00";"3535"
"16964";"Salg";"AUTH-1607";"AFT-2023-002";"978-87-5081-534-1";"Online";"Pocket";"D";"79013";"14-02-2024";"241";"149.10";"0.1947";"6996.17";"DKK";"0.00";"3535"
"16965";"Salg";"AUTH-1607";"AFT-2023-002";"978-87-3931-836-8";"Bibliotek";"Standard";"D";"72546";"14-03-2024";"661";"545.07";"0.1996";"71914.14";"DKK";"0.00";"3535"
"16966";"Korrektion";"AUTH-1607";"AFT-2023-002";"978-87-0336-922-8";"Online";"Pocket";"D";"98878";"25-02-2024";"1384";"466.71";"0.1877";"121240.43";"EUR";"0.00";"3535"
