"TRANSNR","TRANSTYPE","KONTO","AFTALE","ARTNR","KANAL","PRISGRUPPE","VILKAR","BILAGSNR","BILAGSDATO","ANTAL","STKPRIS","STKAFREGNSATS","BELOEB","VALUTA","SKAT","AFREGNBATCH"
"11687","ForskudMod","AUTH-0519","AFT-2022-007","978-87-0738-277-3","Boghandel","Klassiker","D","99804","2019-06-18","961","289.37","0.1994","67393.04","DKK","0.00","9484"
"11688","ForskudMod","AUTH-0519","AFT-2022-007","978-87-7863-090-2","Bibliotek","Pocket","C","53149","2019-05-05","18","281.80","0.0666","337.82","DKK","0.00","9484"
"11689","Salg","AUTH-0519","AFT-2022-007","978-87-4473-057-5","E-bog","Digital","C","56156","2019-05-31","1739","497.51","0.1824","157806.99","DKK","0.00","9484"
"11690","ForskudMod","AUTH-0519","AFT-2022-007","978-87-5965-667-9","E-bog","Klassiker","D","84341","2019-06-16","833","198.39","0.1715","152189.22","DKK","0.00","9484"
"11691","Salg","AUTH-0519","AFT-2022-007","978-87-2242-653-7","Online","Indbundet","C","61947","2019-06-14","1599","291.08","0.0901","41935.87","NOK","0.00","9484"
"11692","Salg","AUTH-0519","AFT-2022-007","978-87-3907-054-9","Subskription","Standard","A","57472","2019-06-18","980","412.22","0.1343","54253.92","DKK","0.00","9484"
"11693","Retur","AUTH-0519","AFT-2022-007","978-87-0101-626-1","Eksport","Digital","A","72849","2019-05-26","-19","47.44","0.0565","-50.93","NOK","0.00","9484"
"11694","Afgift","AUTH-0519","AFT-2022-007","978-87-7597-833-5","Lydbog","Lydbog","B","73472","2019-05-14","653","194.42","0.1501","19056.13","DKK","0.00","9484"
"11695","ForskudMod","AUTH-0519","AFT-2022-007","978-87-6791-463-1","Lydbog","Pocket","A","75384","2019-05-27","1988","539.96","0.1511","197742.68","DKK","0.00","9484"
"11696","Salg","AUTH-0519","AFT-2022-007","978-87-0317-266-8","E-bog","Digital","B","75745","2019-05-20","748","113.18","0.1537","13012.03","DKK","0.00","9484"
"11697","GarGlobalMod","AUTH-0519","AFT-2022-007","978-87-7240-002-0","Bibliotek","Indbundet","B","69935","2019-05-06","43","340.71","0.1828","2678.12","DKK","0.00","9484"
"11698","Retur","AUTH-0519","AFT-2022-007","978-87-8543-271-1","Subskription","Standard","C","92268","2019-05-04","-821","573.03","0.0906","-42623.46","DKK","0.00","9484"
"11699","ForskudMod","AUTH-0519","AFT-2022-007","978-87-3010-009-2","Bibliotek","Special","B","79056","2019-05-16","108","329.45","0.169","59894.97","DKK","0.00","9484"
"11700","ForskudMod","AUTH-0519","AFT-2022-007","978-87-3541-589-4","Subskription","Indbundet","A","53235","2019-06-09","1549","132.21","0.1866","160939.26","DKK","0.00","9484"
"11701","Salg","AUTH-0519","AFT-2022-007","978-87-1366-280-7","E-bog","Pocket","D","94196","2019-05-09","1049","478.86","0.0665","33404.56","DKK","0.00","9484"
"11702","ForskudMod","AUTH-0519","AFT-2022-007","978-87-4705-311-4","Boghandel","Indbundet","C","98606","2019-06-30","75","587.32","0.1862","81813.64","DKK","0.00","9484"
"11703","Salg","AUTH-0519","AFT-2022-007","978-87-3979-842-9","Boghandel","Digital","D","70212","2019-06-17","194","347.31","0.2475","16676.09","DKK","0.00","9484"
"11704","Forskud","AUTH-0519","AFT-2022-007","978-87-6501-676-4","E-bog","Special","B","81373","2019-06-01","981","422.64","0.0697","2592.51","DKK","0.00","9484"
"11705","ForskudMod","AUTH-0519","AFT-2022-007","978-87-3688-501-6","E-bog","Klassiker","B","91935","2019-06-20","1493","402.53","0.2258","16458.60","DKK","0.00","9484"
