"TRANSNR";"TRANSTYPE";"KONTO";"AFTALE";"ARTNR";"KANAL";"PRISGRUPPE";"VILKAR";"BILAGSNR";"BILAGSDATO";"ANTAL";"STKPRIS";"STKAFREGNSATS";"BELOEB";"VALUTA";"SKAT";"AFREGNBATCH"
"16843";"Salg";"AUTH-0333";"AFT-2021-004";"978-87-5929-828-2";"Boghandel";"Digital";"C";"98238";"12/05/2024";"241";"123.07";"0.1541";"4570.59";"DKK";"0.00";"4131"
"16844";"Salg";"AUTH-0333";"AFT-2021-004";"978-87-3329-419-4";"E-bog";"Klassiker";"B";"95949";"15/04/2024";"1853";"188.07";"0.1271";"44293.55";"DKK";"0.00";"4131"
"16845";"Salg";"AUTH-0333";"AFT-2021-004";"978-87-1577-504-8";"Subskription";"Special";"C";"82592";"15/04/2024";"177";"91.64";"0.0528";"856.43";"DKK";"0.00";"4131"
"16846";"GarGlobal";"AUTH-0333";"AFT-2021-004";"978-87-2239-668-7";"Online";"Standard";"B";"76848";"28/04/2024";"1929";"303.97";"0.0761";"44621.85";"DKK";"0.00";"4131"
"16847";"Salg";"AUTH-0333";"AFT-2021-004";"978-87-8088-882-7";"Subskription";"Standard";"D";"97509";"18/04/2024";"1332";"151.12";"0.1725";"34722.84";"DKK";"0.00";"4131"
"16848";"Salg";"AUTH-0333";"AFT-2021-004";"978-87-9241-256-0";"Bibliotek";"Pocket";"B";"59232";"10/05/2024";"399";"291.57";"0.1466";"17054.92";"DKK";"0.00";"4131"
"16849";"Korrektion";"AUTH-0333";"AFT-2021-004";"978-87-7087-371-0";"Eksport";"Standard";"C";"65979";"22/04/2024";"198";"247.33";"0.148";"7247.76";"DKK";"0.00";"4131"
"16850";"Retur";"AUTH-0333";"AFT-2021-004";"978-87-0878-032-5";"E-bog";"Lydbog";"B";"88130";"08/06/2024";"-580";"33.89";"0.2377";"-4672.28";"DKK";"0.00";"4131"
"16851";"Forskud";"AUTH-0333";"AFT-2021-004";"978-87-3475-480-2";"Subskription";"Standard";"D";"89946";"24/04/2024";"11";"513.49";"0.2468";"1394.02";"DKK";"0.00";"4131"
"16852";"Salg";"AUTH-0333";"AFT-2021-004";"978-87-2608-860-1";"Bibliotek";"Digital";"D";"58759";"14/06/2024";"159";"505.17";"0.055";"4417.71";"DKK";"0.00";"4131"
"16853";"Salg";"AUTH-0333";"AFT-2021-004";"978-87-2098-114-4";"Online";"Klassiker";"D";"56024";"17/04/2024";"1269";"589.09";"0.2246";"167900.90";"NOK";"0.00";"4131"
"16854";"Bonus";"AUTH-0333";"AFT-2021-004";"978-87-2676-181-8";"Eksport";"Digital";"A";"62515";"29/05/2024";"1139";"596.15";"0.1547";"105043.60";"DKK";"0.00";"4131"
"16855";"Salg";"AUTH-0333";"AFT-2021-004";"978-87-9810-357-8";"Boghandel";"Lydbog";"B";"93180";"06/05/2024";"639";"95.33";"0.0928";"5652.99";"SEK";"0.00";"4131"
"16856";"Forskud";"AUTH-0333";"AFT-2021-004";"978-87-0192-872-4";"Eksport";"Standard";"D";"52652";"31/05/2024";"1257";"70.09";"0.2452";"21602.89";"DKK";"0.00";"4131"
"16857";"Salg";"AUTH-0333";"AFT-2021-004";"978-87-9840-863-5";"Boghandel";"Special";"B";"91103";"23/05/2024";"84";"448.10";"0.1901";"7155.44";"DKK";"0.00";"4131"
