"TRANSNR";"TRANSTYPE";"KONTO";"AFTALE";"ARTNR";"KANAL";"PRISGRUPPE";"VILKAR";"BILAGSNR";"BILAGSDATO";"ANTAL";"STKPRIS";"STKAFREGNSATS";"BELOEB";"VALUTA";"SKAT";"AFREGNBATCH"
"15226";"Salg";"AUTH-1809";"AFT-2020-099";"978-87-6799-368-1";"Boghandel";"Special";"D";"62264";"12.11.2021";"1571";"377.25";"0.2353";"139452.84";"EUR";"0.00";"7143"
"15227";"Salg";"AUTH-1809";"AFT-2020-099";"978-87-3477-741-2";"Lydbog";"Digital";"C";"62848";"17.11.2021";"711";"515.15";"0.2011";"73657.23";"DKK";"0.00";"7143"
"15228";"Salg";"AUTH-1809";"AFT-2020-099";"978-87-1901-280-4";"Bibliotek";"Lydbog";"C";"87701";"13.12.2021";"366";"359.77";"0.1107";"14576.51";"DKK";"0.00";"7143"
"15229";"Salg";"AUTH-1809";"AFT-2020-099";"978-87-4801-559-3";"Online";"Digital";"A";"58950";"10.11.2021";"938";"124.37";"0.1194";"13929.09";"DKK";"0.00";"7143"
"15230";"Salg";"AUTH-1809";"AFT-2020-099";"978-87-8075-009-4";"Eksport";"Standard";"B";"63514";"17.12.2021";"793";"290.25";"0.1526";"35123.67";"DKK";"0.00";"7143"
"15231";"GarGlobal";"AUTH-1809";"AFT-2020-099";"978-87-7338-287-5";"Lydbog";"Lydbog";"A";"94342";"29.11.2021";"1042";"420.98";"0.1775";"77862.36";"DKK";"0.00";"7143"
"15232";"Salg";"AUTH-1809";"AFT-2020-099";"978-87-5288-151-1";"E-bog";"Special";"B";"83151";"31.10.2021";"390";"276.30";"0.2051";"22100.96";"DKK";"0.00";"7143"
"15233";"Forskud";"AUTH-1809";"AFT-2020-099";"978-87-9770-431-8";"Boghandel";"Lydbog";"A";"74312";"04.12.2021";"426";"195.98";"0.2069";"17273.56";"SEK";"0.00";"7143"
"15234";"Salg";"AUTH-1809";"AFT-2020-099";"978-87-9971-057-7";"Eksport";"Pocket";"B";"55088";"11.12.2021";"659";"180.99";"0.1728";"20610.27";"DKK";"0.00";"7143"
"15235";"Salg";"AUTH-1809";"AFT-2020-099";"978-87-1660-898-7";"Boghandel";"Digital";"A";"57097";"28.11.2021";"1995";"528.35";"0.2429";"256030.75";"DKK";"0.00";"7143"
"15236";"Salg";"AUTH-1809";"AFT-2020-099";"978-87-7143-840-6";"Online";"Klassiker";"A";"91399";"12.12.2021";"220";"476.01";"0.068";"7121.11";"DKK";"0.00";"7143"
"15237";"Salg";"AUTH-1809";"AFT-2020-099";"978-87-5969-007-9";"Boghandel";"Lydbog";"B";"78078";"29.11.2021";"81";"216.79";"0.0907";"1592.69";"DKK";"0.00";"7143"
"15238";"Salg";"AUTH-1809";"AFT-2020-099";"978-87-8698-683-1";"E-bog";"Special";"D";"76585";"01.11.2021";"122";"93.24";"0.1489";"1693.78";"DKK";"0.00";"7143"
"15239";"Salg";"AUTH-1809";"AFT-2020-099";"978-87-2745-379-8";"Lydbog";"Lydbog";"C";"77308";"12.12.2021";"761";"459.39";"0.1303";"45552.33";"DKK";"0.00";"7143"
"15240";"Bonus";"AUTH-1809";"AFT-2020-099";"978-87-9280-417-4";"Online";"Special";"A";"97731";"03.12.2021";"1264";"387.89";"0.1612";"79035.23";"DKK";"0.00";"7143"
"15241";"Salg";"AUTH-1809";"AFT-2020-099";"978-87-0376-600-3";"Boghandel";"Pocket";"B";"53957";"10.11.2021";"369";"500.30";"0.2236";"41278.95";"DKK";"0.00";"7143"
"15242";"Salg";"AUTH-1809";"AFT-2020-099";"978-87-1068-973-9";"Lydbog";"Digital";"C";"79353";"17.11.2021";"1593";"72.28";"0.1436";"16534.40";"DKK";"0.00";"7143"
"15243";"Salg";"AUTH-1809";"AFT-2020-099";"978-87-0945-975-6";"Online";"Lydbog";"A";"50658";"31.10.2021";"1357";"89.08";"0.0561";"6781.46";"DKK";"0.00";"7143"
