"TRANSNR","TRANSTYPE","KONTO","AFTALE","ARTNR","KANAL","PRISGRUPPE","VILKAR","BILAGSNR","BILAGSDATO","ANTAL","STKPRIS","STKAFREGNSATS","BELOEB","VALUTA","SKAT","AFREGNBATCH"
"13410","Salg","AUTH-0734","AFT-2025-008","978-87-6503-052-4","Online","Standard","A","52577","29-12-2025","536","83.32","0.1045","4666.92","DKK","0.00","6805"
"13411","Royalty","AUTH-0734","AFT-2025-008","978-87-3352-949-4","Eksport","Indbundet","A","91316","02-02-2026","766","301.04","0.0606","13974.16","DKK","0.00","6805"
"13412","Diverse","AUTH-0734","AFT-2025-008","978-87-8492-970-0","Eksport","Digital","A","85569","15-01-2026","617","469.70","0.0912","26430.21","DKK","0.00","6805"
"13413","Royalty","AUTH-0734","AFT-2025-008","978-87-9767-621-9","Eksport","Standard","B","69662","09-01-2026","1946","392.25","0.2215","169075.05","DKK","0.00","6805"
"13414","Retur","AUTH-0734","AFT-2025-008","978-87-3153-834-4","Eksport","Digital","A","88407","12-02-2026","-1144","498.34","0.1782","-101591.99","DKK","0.00","6805"
"13415","Retur","AUTH-0734","AFT-2025-008","978-87-0085-904-3","Online","Standard","B","68328","30-12-2025","-98","583.28","0.0559","-3195.32","DKK","0.00","6805"
"13416","Salg","AUTH-0734","AFT-2025-008","978-87-4237-331-6","E-bog","Special","A","54102","07-01-2026","419","200.06","0.1767","14811.90","DKK","0.00","6805"
"13417","Salg","AUTH-0734","AFT-2025-008","978-87-9762-177-6","E-bog","Special","A","97656","03-02-2026","1241","515.67","0.1819","116406.26","DKK","0.00","6805"
"13418","Salg","AUTH-0734","AFT-2025-008","978-87-7274-821-4","E-bog","Pocket","B","72091","18-01-2026","1452","223.80","0.0674","21902.14","DKK","0.00","6805"
"13419","Salg","AUTH-0734","AFT-2025-008","978-87-3240-496-9","E-bog","Special","D","92196","01-02-2026","1673","75.64","0.2301","29118.17","DKK","0.00","6805"
"13420","Retur","AUTH-0734","AFT-2025-008","978-87-7145-706-3","Boghandel","Klassiker","D","78409","01-02-2026","-649","556.90","0.1563","-56491.21","DKK","0.00","6805"
"13421","ForskudMod","AUTH-0734","AFT-2025-008","978-87-5771-712-9","Eksport","Pocket","B","95489","31-12-2025","135","357.28","0.1641","7915.00","DKK","0.00","6805"
"13422","GarGlobal","AUTH-0734","AFT-2025-008","978-87-0022-796-5","Eksport","Lydbog","D","83146","09-01-2026","1587","121.47","0.1053","9968.89","EUR","0.00","6805"
"13423","Salg","AUTH-0734","AFT-2025-008","978-87-8780-646-6","Boghandel","Lydbog","A","89112","01-01-2199","1840","571.38","0.2167","227825.20","DKK","0.00","6805"
"13424","Salg","AUTH-0734","AFT-2025-008","978-87-4987-493-9","E-bog","Digital","D","59254","25-01-2026","1432","131.48","0.0919","17302.87","DKK","0.00","6805"
"13425","Salg","AUTH-0734","AFT-2025-008","978-87-0375-578-6","Eksport","Klassiker","D","96214","18-01-2026","754","477.30","0.1074","38651.56","DKK","0.00","6805"
"13426","Retur","AUTH-0734","AFT-2025-008","978-87-6430-813-6","Online","Standard","B","51249","01-01-1950","-265","115.36","0.1192","-3643.99","DKK","0.00","6805"
"13427","Salg","AUTH-0734","AFT-2025-008","978-87-3509-455-6","Online","Pocket","D","68774","01-01-1899","1982","450.54","0.1789","159752.38","DKK","0.00","6805"
"13428","GarGlobal","AUTH-0734","AFT-2025-008","978-87-4776-038-8","Eksport","Pocket","B","54605","22-12-2025","312","488.30","0.2434","24582.99","DKK","0.00","6805"
"13429","GarGlobal","AUTH-0734","AFT-2025-008","978-87-8641-793-9","Online","Indbundet","C","93125","18-01-2026","1225","373.09","0.1278","30549.23","DKK","0.00","6805"
"13430","Salg","AUTH-0734","AFT-2025-008","978-87-3387-688-8","Subskription","Digital","B","88066","21-01-2026","431","343.90","0.2093","31022.63","DKK","0.00","6805"
"13431","GarGlobal","AUTH-0734","AFT-2025-008","978-87-6816-522-3","Lydbog","Standard","D","96585","09-02-2026","-511","219.23","0.1482","32114.01","DKK","0.00","6805"
"13432","Salg","AUTH-0734","AFT-2025-008","978-87-5219-980-7","Eksport","Klassiker","D","89113","15-02-2026","772","565.99","0.1011","44175.07","DKK","0.00","6805"
"13433","Frieksp","AUTH-0734","AFT-2025-008","978-87-4299-508-2","Boghandel","Lydbog","B","76760","28-12-2025","809","293.82","0.2495","59306.24","DKK","0.00","6805"
"13434","Korrektion","AUTH-0734","AFT-2025-008","978-87-7677-786-9","Online","Klassiker","A","89436","01-02-2026","1970","282.12","0.1924","106931.38","DKK","0.00","6805"
"13435","Forskud","AUTH-0734","AFT-2025-008","978-87-0597-468-0","Boghandel","Klassiker","A","64234","02-01-2026","1945","477.98","0.2289","212801.71","DKK","0.00","6805"
"13436","GarGlobal","AUTH-0734","AFT-2025-008","978-87-6242-610-8","Online","Lydbog","D","82643","23-01-2026","-1453","163.90","0.0803","34953.18","DKK","0.00","6805"
"13437","Salg","AUTH-0734","AFT-2025-008","978-87-4919-866-0","Eksport","Indbundet","A","76228","20-12-2025","167","150.29","0.1661","4168.85","DKK","0.00","6805"
"13438","GarGlobal","AUTH-0734","AFT-2025-008","978-87-3985-726-3","Eksport","Pocket","C","86225","19-12-2025","-1353","428.07","0.1146","23788.66","DKK","0.00","6805"
"13439","Salg","AUTH-0734","AFT-2025-008","978-87-0099-986-2","Lydbog","Lydbog","C","95696","01-01-1899","889","541.74","0.2366","113948.18","DKK","0.00","6805"
"13440","Retur","AUTH-0734","AFT-2025-008","978-87-9048-735-5","E-bog","Standard","C","71075","01-01-1950","-1477","375.57","0.1249","-69284.14","NOK","0.00","6805"
"13441","GarGlobal","AUTH-0734","AFT-2025-008","978-87-0779-977-9","Subskription","Indbundet","D","74829","15-01-2026","-292","115.02","0.0783","16066.30","DKK","0.00","6805"
