"TRANSNR","TRANSTYPE","KONTO","AFTALE","ARTNR","KANAL","PRISGRUPPE","VILKAR","BILAGSNR","BILAGSDATO","ANTAL","STKPRIS","STKAFREGNSATS","BELOEB","VALUTA","SKAT","AFREGNBATCH"
"13109","Salg","AUTH-1607","AFT-2018-001","978-87-9306-404-1","Lydbog","Pocket","A","93990","2022-02-04","176","103.98","0.0618","1130.97","DKK","0.00","7418"
"13110","Salg","AUTH-1607","AFT-2018-001","978-87-0315-887-7","Boghandel","Standard","C","73443","2022-02-02","1126","210.05","0.1274","30518.71","DKK","0.00","7418"
"13111","Salg","AUTH-1607","AFT-2018-001","978-87-1560-951-0","Boghandel","Indbundet","B","54262","2022-03-04","545","439.31","0.2363","56545.26","DKK","0.00","7418"
"13112","Salg","AUTH-1607","AFT-2018-001","978-87-5111-627-0","Lydbog","Special","A","57331","2022-02-25","1733","84.70","0.0916","13755.61","DKK","0.00","7418"
"13113","Frieksp","AUTH-1607","AFT-2018-001","978-87-0472-553-5","Boghandel","Lydbog","D","62248","2022-02-14","249","513.28","0.0572","7058.40","DKK","0.00","7418"
"13114","Salg","AUTH-1607","AFT-2018-001","978-87-0845-240-6","Boghandel","Special","B","98476","2022-02-04","1124","324.47","0.1938","70679.69","DKK","0.00","7418"
"13115","Salg","AUTH-1607","AFT-2018-001","978-87-6010-999-7","Bibliotek","Digital","B","53861","2022-03-11","487","475.03","0.2166","50599.80","DKK","0.00","7418"
"13116","ForskudMod","AUTH-1607","AFT-2018-001","978-87-1922-887-8","Boghandel","Pocket","D","90804","2022-02-23","1757","541.32","0.1966","187342.55","DKK","0.00","7418"
"13117","Salg","AUTH-1607","AFT-2018-001","978-87-4502-664-6","Subskription","Indbundet","C","96519","2022-04-02","1321","128.80","0.0986","16776.28","DKK","0.00","7418"
"13118","Korrektion","AUTH-1607","AFT-2018-001","978-87-4811-051-9","E-bog","Klassiker","D","58891","2022-03-20","1951","465.81","0.1631","148224.52","DKK","0.00","7418"
"13119","Salg","AUTH-1607","AFT-2018-001","978-87-7779-836-8","Subskription","Indbundet","B","66478","2022-03-05","933","291.01","0.0633","17180.22","EUR","0.00","7418"
"13120","Salg","AUTH-1607","AFT-2018-001","978-87-1331-579-6","Lydbog","Klassiker","B","78329","2022-02-17","366","61.11","0.0861","1925.73","DKK","0.00","7418"
"13121","Salg","AUTH-1607","AFT-2018-001","978-87-0172-951-2","Subskription","Lydbog","D","88432","2022-03-29","1392","109.86","0.1789","27561.88","DKK","0.00","7418"
"13122","Korrektion","AUTH-1607","AFT-2018-001","978-87-0840-390-3","Subskription","Standard","A","81295","2022-03-16","1521","353.16","0.1817","97601.31","DKK","0.00","7418"
"13123","Frieksp","AUTH-1607","AFT-2018-001","978-87-3339-950-9","Eksport","Pocket","D","78063","2022-03-05","802","252.47","0.1309","26504.76","EUR","0.00","7418"
"13124","Salg","AUTH-1607","AFT-2018-001","978-87-8005-090-3","Subskription","Lydbog","C","62243","2022-03-13","1124","154.07","0.1332","23066.87","DKK","0.00","7418"
"13125","Salg","AUTH-1607","AFT-2018-001","978-87-5644-199-5","E-bog","Lydbog","A","54314","2022-02-10","1534","193.79","0.0635","19011.21","DKK","0.00","7418"
"13126","Salg","AUTH-1607","AFT-2018-001","978-87-9907-619-2","Bibliotek","Standard","B","90062","2022-03-21","241","463.75","0.151","17325.97","DKK","0.00","7418"
"13127","GarGlobalMod","AUTH-1607","AFT-2018-001","978-87-9032-177-2","Online","Special","D","57792","2022-02-07","572","350.60","0.2411","48350.97","DKK","0.00","7418"
"13128","Korrektion","AUTH-1607","AFT-2018-001","978-87-4375-315-5","Eksport","Indbundet","C","90684","2022-03-16","1677","283.62","0.1789","84659.80","DKK","0.00","7418"
"13129","Retur","AUTH-1607","AFT-2018-001","978-87-6039-036-4","Boghandel","Lydbog","B","73597","2022-03-28","-1016","195.62","0.1359","-27010.11","DKK","0.00","7418"
"13130","Frieksp","AUTH-1607","AFT-2018-001","978-87-5153-474-6","Eksport","Indbundet","B","83955","2022-02-02","414","370.50","0.0773","11856.82","DKK","0.00","7418"
"13131","Salg","AUTH-1607","AFT-2018-001","978-87-0378-101-3","Boghandel","Special","A","65684","2022-03-29","7","171.69","0.0787","86.85","DKK","0.00","7418"
"13132","Salg","AUTH-1607","AFT-2018-001","978-87-9757-885-8","Boghandel","Digital","D","51210","2022-03-10","234","534.48","0.1297","16221.36","DKK","0.00","7418"
"13133","Forskud","AUTH-1607","AFT-2018-001","978-87-9043-946-0","Eksport","Indbundet","C","58201","2022-02-11","1470","72.57","0.2417","25784.05","DKK","0.00","7418"
"13134","Salg","AUTH-1607","AFT-2018-001","978-87-1054-026-9","Eksport","Lydbog","D","69809","2022-03-15","40","454.27","0.086","1562.69","DKK","0.00","7418"
"13135","Frieksp","AUTH-1607","AFT-2018-001","978-87-1895-688-8","Bibliotek","Lydbog","C","87757","2022-03-13","1656","257.97","0.1","42719.83","DKK","0.00","7418"
"13136","Salg","AUTH-1607","AFT-2018-001","978-87-5391-802-5","Subskription","Pocket","D","55521","2022-02-28","478","337.86","0.1613","26049.48","DKK","0.00","7418"
"13137","Salg","AUTH-1607","AFT-2018-001","978-87-7360-908-8","Bibliotek","Pocket","B","79018","2022-03-21","675","279.40","0.0945","18058.81","DKK","0.00","7418"
"13138","Frieksp","AUTH-1607","AFT-2018-001","978-87-3429-002-7","Subskription","Pocket","A","85207","2022-03-05","585","560.58","0.0832","27284.55","DKK","0.00","7418"
"13139","Salg","AUTH-1607","AFT-2018-001","978-87-1512-167-8","Subskription","Pocket","C","55808","2022-04-02","826","448.29","0.2141","78972.34","DKK","0.00","7418"
"13140","Salg","AUTH-1607","AFT-2018-001","978-87-9782-425-2","Eksport","Special","C","87790","2022-03-22","1736","269.83","0.1605","75182.19","DKK","0.00","7418"
"13141","Afgift","AUTH-1607","AFT-2018-001","978-87-0445-039-0","Subskription","Indbundet","C","74707","2022-03-31","1128","257.23","0.1554","45193.41","DKK","0.00","7418"
"13142","Retur","AUTH-1607","AFT-2018-001","978-87-4498-602-6","Lydbog","Digital","A","62013","2022-02-16","-1240","434.62","0.2087","-112474.44","DKK","0.00","7418"
"13143","Afgift","AUTH-1607","AFT-2018-001","978-87-3070-791-8","E-bog","Pocket","A","95614","2022-03-07","1266","54.10","0.1083","7417.53","DKK","0.00","7418"
"13144","GarGlobal","AUTH-1607","AFT-2018-001","978-87-8334-512-9","Eksport","Standard","A","67915","2022-03-15","1242","330.30","0.1706","70358.89","DKK","0.00","7418"
"13145","Salg","AUTH-1607","AFT-2018-001","978-87-8814-742-1","Lydbog","Pocket","B","70218","2022-04-01","1810","229.15","0.1416","58730.23","DKK","0.00","7418"
"13146","GarGlobal","AUTH-1607","AFT-2018-001","978-87-9500-786-2","Subskription","Pocket","A","62459","2022-02-02","916","284.01","0.1166","30355.97","DKK","0.00","7418"
"13147","Retur","AUTH-1607","AFT-2018-001","978-87-3673-361-4","Eksport","Digital","D","55540","2022-02-19","-552","132.81","0.1006","-7375.10","DKK","0.00","7418"
"13148","Retur","AUTH-1607","AFT-2018-001","978-87-3295-661-1","Subskription","Digital","A","95252","2022-03-24","-1314","186.58","0.2262","-55456.58","DKK","0.00","7418"
"13149","Salg","AUTH-1607","AFT-2018-001","978-87-5178-275-8","E-bog","Pocket","D","75625","2022-03-22","1525","311.89","0.0906","43288.76","DKK","0.00","7418"
"13150","Salg","AUTH-1607","AFT-2018-001","978-87-9640-009-9","Boghandel","Special","C","63255","2022-03-24","318","216.26","0.1853","12743.21","DKK","0.00","7418"
"13151","Retur","AUTH-1607","AFT-2018-001","978-87-7838-777-6","Lydbog","Lydbog","D","69507","2022-02-16","-784","216.87","0.05","-8501.30","DKK","0.00","7418"
"13152","Royalty","AUTH-1607","AFT-2018-001","978-87-3740-282-3","Subskription","Standard","C","78281","2022-03-15","857","495.69","0.2095","88996.93","DKK","0.00","7418"
"13153","Retur","AUTH-1607","AFT-2018-001","978-87-6756-275-7","Online","Klassiker","B","50909","2022-02-18","-1560","173.25","0.1848","-49945.90","DKK","0.00","7418"
"13154","Salg","AUTH-1607","AFT-2018-001","978-87-5955-364-0","Subskription","Indbundet","B","87904","2022-02-05","1287","564.35","0.0862","62608.65","DKK","0.00","7418"
"13155","Salg","AUTH-1607","AFT-2018-001","978-87-4765-839-5","Eksport","Standard","C","54460","2022-02-02","1355","586.73","0.1916","152325.67","DKK","0.00","7418"
