"TRANSNR";"TRANSTYPE";"KONTO";"AFTALE";"ARTNR";"KANAL";"PRISGRUPPE";"VILKAR";"BILAGSNR";"BILAGSDATO";"ANTAL";"STKPRIS";"STKAFREGNSATS";"BELOEB";"VALUTA";"SKAT";"AFREGNBATCH"
"18313";"Salg";"AUTH-1607";"AFT-2021-028";"978-87-3357-842-3";"Bibliotek";"Standard";"D";"56702";"01-01-2027";"1891";"554.57";"0.1569";"164539.75";"DKK";"0.00";"9700"
"18314";"Retur";"AUTH-1607";"AFT-2021-028";"978-87-6171-483-1";"Subskription";"Lydbog";"A";"85367";"25-11-2026";"-1159";"297.98";"0.1126";"-38887.40";"DKK";"0.00";"9700"
"18315";"Salg";"AUTH-1607";"AFT-2021-028";"978-87-2655-592-9";"Bibliotek";"Special";"B";"65836";"18-11-2026";"476";"364.94";"0.2292";"39814.66";"DKK";"0.00";"9700"
"18316";"Retur";"AUTH-1607";"AFT-2021-028";"978-87-8458-789-4";"Lydbog";"Digital";"A";"72912";"01-01-2199";"-1225";"233.90";"0.0801";"-22950.85";"DKK";"0.00";"9700"
"18317";"Retur";"AUTH-1607";"AFT-2021-028";"978-87-7972-468-6";"Boghandel";"Digital";"A";"82145";"01-12-2026";"-1161";"327.83";"0.2016";"-76731.10";"DKK";"0.00";"9700"
"18318";"Royalty";"AUTH-1607";"AFT-2021-028";"978-87-8220-137-2";"Online";"Special";"A";"85448";"01-01-1950";"119";"122.07";"0.244";"3544.42";"DKK";"0.00";"9700"
"18319";"Retur";"AUTH-1607";"AFT-2021-028";"978-87-6572-048-7";"Eksport";"Standard";"A";"90798";"13-12-2026";"-337";"103.18";"0.1769";"-6151.11";"DKK";"0.00";"9700"
"18320";"Placeholder";"AUTH-1607";"AFT-2021-028";"978-87-7791-994-7";"E-bog";"Lydbog";"B";"76452";"15-11-2026";"176";"168.25";"0.1185";"3509.02";"DKK";"0.00";"9700"
"18321";"Royalty";"AUTH-1607";"AFT-2021-028";"978-87-0887-056-9";"Bibliotek";"Pocket";"D";"57084";"19-12-2026";"189";"306.98";"0.1808";"10489.87";"DKK";"0.00";"9700"
"18322";"Salg";"AUTH-1607";"AFT-2021-028";"978-87-6239-594-7";"Bibliotek";"Lydbog";"D";"86029";"01-01-2199";"1960";"373.29";"0.0877";"64165.56";"DKK";"0.00";"9700"
"18323";"Placeholder";"AUTH-1607";"AFT-2021-028";"978-87-6843-476-3";"Boghandel";"Indbundet";"A";"80772";"23-12-2026";"844";"121.84";"0.2012";"20689.99";"DKK";"0.00";"9700"
"18324";"Salg";"AUTH-1607";"AFT-2021-028";"978-87-6616-864-6";"Boghandel";"Klassiker";"D";"51530";"14-11-2026";"1756";"516.31";"0.209";"189487.84";"DKK";"0.00";"9700"
"18325";"Salg";"AUTH-1607";"AFT-2021-028";"978-87-3675-379-7";"Subskription";"Pocket";"B";"91777";"01-01-2199";"992";"91.96";"0.2261";"20625.82";"DKK";"0.00";"9700"
"18326";"Salg";"AUTH-1607";"AFT-2021-028";"978-87-7730-522-1";"Subskription";"Lydbog";"A";"87955";"24-12-2026";"151";"274.05";"0.2336";"9666.73";"DKK";"0.00";"9700"
"18327";"Salg";"AUTH-1607";"AFT-2021-028";"978-87-5635-466-0";"E-bog";"Pocket";"D";"58630";"24-11-2026";"540";"35.11";"0.2465";"4673.49";"DKK";"0.00";"9700"
"18328";"Salg";"AUTH-1607";"AFT-2021-028";"978-87-5749-492-1";"E-bog";"Special";"B";"76230";"26-12-2026";"15";"106.57";"0.2158";"344.97";"DKK";"0.00";"9700"
"18329";"Salg";"AUTH-1607";"AFT-2021-028";"978-87-9036-542-4";"Bibliotek";"Indbundet";"A";"52095";"27-12-2026";"1844";"78.13";"0.1051";"15141.94";"DKK";"0.00";"9700"
"18330";"Salg";"AUTH-1607";"AFT-2021-028";"978-87-4392-978-9";"E-bog";"Indbundet";"D";"87447";"28-12-2026";"1005";"567.57";"0.1818";"103700.15";"DKK";"0.00";"9700"
"18331";"Salg";"AUTH-1607";"AFT-2021-028";"978-87-9983-361-0";"Lydbog";"Standard";"B";"99805";"24-12-2026";"655";"271.58";"0.2166";"38529.87";"DKK";"0.00";"9700"
"18332";"Royalty";"AUTH-1607";"AFT-2021-028";"978-87-5009-182-0";"Lydbog";"Special";"D";"89884";"20-11-2026";"644";"255.54";"0.0825";"13576.84";"DKK";"0.00";"9700"
"18333";"Retur";"AUTH-1607";"AFT-2021-028";"978-87-6990-673-3";"Bibliotek";"Indbundet";"A";"74121";"09-01-2027";"-922";"87.32";"0.1387";"-11166.60";"DKK";"0.00";"9700"
"18334";"Retur";"AUTH-1607";"AFT-2021-028";"978-87-7093-820-4";"E-bog";"Special";"D";"99546";"01-01-2199";"-1476";"105.25";"0.198";"-30759.10";"DKK";"0.00";"9700"
"18335";"Retur";"AUTH-1607";"AFT-2021-028";"978-87-9479-783-2";"Online";"Indbundet";"C";"72424";"11-01-2027";"-876";"33.94";"0.086";"-2556.90";"DKK";"0.00";"9700"
"18336";"Retur";"AUTH-1607";"AFT-2021-028";"978-87-2010-466-6";"Boghandel";"Standard";"D";"56479";"19-12-2026";"-430";"292.06";"0.1689";"-21211.44";"DKK";"0.00";"9700"
"18337";"Retur";"AUTH-1607";"AFT-2021-028";"978-87-1616-841-2";"Subskription";"Lydbog";"C";"85085";"17-12-2026";"-35";"154.46";"0.1453";"-785.51";"NOK";"0.00";"9700"
"18338";"Salg";"AUTH-1607";"AFT-2021-028";"978-87-0476-482-4";"Boghandel";"Indbundet";"A";"63551";"21-11-2026";"345";"47.20";"0.1396";"2273.25";"DKK";"0.00";"9700"
"18339";"Royalty";"AUTH-1607";"AFT-2021-028";"978-87-9789-658-7";"Eksport";"Klassiker";"A";"54921";"21-11-2026";"1441";"326.27";"0.1957";"92009.35";"DKK";"0.00";"9700"
"18340";"Salg";"AUTH-1607";"AFT-2021-028";"978-87-7909-059-0";"Boghandel";"Indbundet";"D";"84137";"14-11-2026";"862";"100.52";"0.2265";"19625.83";"DKK";"0.00";"9700"
"18341";"Salg";"AUTH-1607";"AFT-2021-028";"978-87-3873-647-7";"Eksport";"Standard";"C";"53682";"10-12-2026";"613";"595.91";"0.1738";"63487.89";"DKK";"0.00";"9700"
"18342";"Frieksp";"AUTH-1607";"AFT-2021-028";"978-87-8347-983-1";"Eksport";"Indbundet";"C";"76962";"25-12-2026";"1140";"64.73";"0.0559";"4124.98";"DKK";"0.00";"9700"
