"TRANSNR";"TRANSTYPE";"KONTO";"AFTALE";"ARTNR";"KANAL";"PRISGRUPPE";"VILKAR";"BILAGSNR";"BILAGSDATO";"ANTAL";"STKPRIS";"STKAFREGNSATS";"BELOEB";"VALUTA";"SKAT";"AFREGNBATCH"
"16915";"Salg";"AUTH-1506";"AFT-2020-011";"978-87-5636-380-8";"Online";"Standard";"D";"77625";"09.11.2026";"1996";"526.01";"0.2386";"250509.95";"DKK";"0.00";"6565"
"16916";"Salg";"AUTH-1506";"AFT-2020-011";"978-87-0996-622-3";"Subskription";"Standard";"B";"69663";"20.12.2026";"1868";"366.51";"0.133";"91057.21";"DKK";"0.00";"6565"
"16917";"Salg";"AUTH-1506";"AFT-2020-011";"978-87-5277-642-8";"Boghandel";"Lydbog";"B";"92149";"20.11.2026";"1636";"277.65";"0";"93209.10";"DKK";"0.00";"6565"
"16918";"Salg";"AUTH-1506";"AFT-2020-011";"978-87-3357-361-9";"Online";"Pocket";"D";"96061";"08.11.2026";"97";"242.81";"";"5273.42";"DKK";"0.00";"6565"
"16919";"Salg";"AUTH-1506";"AFT-2020-011";"978-87-5108-683-2";"Boghandel";"Special";"C";"74072";"28.12.2026";"1368";"336.50";"0.12";"55239.84";"DKK";"0.00";"6565"
"16920";"Salg";"AUTH-1506";"AFT-2020-011";"978-87-0015-958-7";"E-bog";"Klassiker";"A";"95353";"05.12.2026";"1240";"124.21";"N/A";"24720.27";"DKK";"0.00";"6565"
"16921";"Salg";"AUTH-1506";"AFT-2020-011";"978-87-9834-995-2";"Lydbog";"Indbundet";"D";"81509";"21.11.2026";"818";"267.88";"0.2257";"49456.70";"DKK";"0.00";"6565"
"16922";"Salg";"AUTH-1506";"AFT-2020-011";"978-87-8037-665-2";"Bibliotek";"Pocket";"A";"65319";"10.12.2026";"1307";"560.57";"0.2181";"159794.23";"DKK";"0.00";"6565"
"16923";"Salg";"AUTH-1506";"AFT-2020-011";"978-87-3483-037-7";"Online";"Indbundet";"B";"99560";"13.12.2026";"217";"126.58";"0.2076";"5702.33";"DKK";"0.00";"6565"
"16924";"Salg";"AUTH-1506";"AFT-2020-011";"978-87-1374-202-8";"E-bog";"Indbundet";"C";"58703";"12.12.2026";"1366";"510.94";"0.1796";"125350.75";"DKK";"0.00";"6565"
"16925";"ForskudMod";"AUTH-1506";"AFT-2020-011";"978-87-8438-321-2";"Boghandel";"Digital";"A";"66035";"13.11.2026";"1577";"561.16";"0.0882";"78052.53";"DKK";"0.00";"6565"
"16926";"Salg";"AUTH-1506";"AFT-2020-011";"978-87-7896-288-1";"Subskription";"Standard";"D";"84473";"15.11.2026";"579";"581.26";"";"50852.64";"DKK";"0.00";"6565"
"16927";"Frieksp";"AUTH-1506";"AFT-2020-011";"978-87-1726-082-5";"Lydbog";"Indbundet";"C";"61231";"13.11.2026";"203";"149.94";"0.114";"3469.91";"DKK";"0.00";"6565"
"16928";"Diverse";"AUTH-1506";"AFT-2020-011";"978-87-3107-846-8";"Subskription";"Digital";"B";"96398";"02.12.2026";"895";"428.99";"0.1766";"67804.87";"DKK";"0.00";"6565"
"16929";"Royalty";"AUTH-1506";"AFT-2020-011";"978-87-2738-827-4";"E-bog";"Standard";"B";"55486";"25.12.2026";"1800";"431.96";"";"112197.29";"DKK";"0.00";"6565"
"16930";"Salg";"AUTH-1506";"AFT-2020-011";"978-87-1770-675-0";"Lydbog";"Lydbog";"D";"68608";"10.11.2026";"880";"91.28";"0.1645";"13213.69";"DKK";"0.00";"6565"
"16931";"Bonus";"AUTH-1506";"AFT-2020-011";"978-87-2944-354-4";"Bibliotek";"Indbundet";"B";"68245";"13.11.2026";"53";"63.70";"N/A";"276.84";"DKK";"0.00";"6565"
"16932";"GarGlobalMod";"AUTH-1506";"AFT-2020-011";"978-87-6076-045-7";"Lydbog";"Standard";"A";"86004";"23.11.2026";"857";"232.69";"0.0724";"14437.67";"DKK";"0.00";"6565"
"16933";"Royalty";"AUTH-1506";"AFT-2020-011";"978-87-8470-814-5";"Online";"Standard";"D";"93677";"03.01.2027";"1401";"587.83";"-0.05";"47354.12";"DKK";"0.00";"6565"
"16934";"Salg";"AUTH-1506";"AFT-2020-011";"978-87-2635-325-9";"Eksport";"Lydbog";"B";"87079";"12.12.2026";"890";"507.26";"0.2254";"101759.40";"DKK";"0.00";"6565"
"16935";"Salg";"AUTH-1506";"AFT-2020-011";"978-87-3090-191-0";"Subskription";"Digital";"A";"94411";"12.12.2026";"460";"501.31";"0.2141";"49372.02";"DKK";"0.00";"6565"
