"TRANSNR","TRANSTYPE","KONTO","AFTALE","ARTNR","KANAL","PRISGRUPPE","VILKAR","BILAGSNR","BILAGSDATO","ANTAL","STKPRIS","STKAFREGNSATS","BELOEB","VALUTA","SKAT","AFREGNBATCH"
"13689","Salg","AUTH-1001","AFT-2022-007","978-87-7844-246-8","Bibliotek","Digital","A","54004","17-11-2023","960","277.34","0.19","50586.82","DKK","0.00","9917"
"13690","Salg","AUTH-1001","AFT-2022-007","978-87-5976-571-5","Subskription","Lydbog","B","85721","08-12-2023","377","222.64","0.1097","9207.70","DKK","0.00","9917"
"13691","Salg","AUTH-1001","AFT-2022-007","978-87-1499-014-5","Subskription","Special","C","71936","17-11-2023","58","424.14","0.1675","4120.52","EUR","0.00","9917"
"13692","Salg","AUTH-1001","AFT-2022-007","978-87-6252-165-0","E-bog","Indbundet","C","98521","15-12-2023","505","343.87","0.215","37335.69","DKK","0.00","9917"
"13693","Salg","AUTH-1001","AFT-2022-007","978-87-6667-524-3","Subskription","Klassiker","A","65768","08-01-2024","1320","199.25","0.0528","13886.93","DKK","0.00","9917"
"13694","Salg","AUTH-1001","AFT-2022-007","978-87-9706-581-5","Subskription","Digital","C","53826","03-01-2024","210","597.84","0.1055","13245.15","DKK","0.00","9917"
"13695","Royalty","AUTH-1001","AFT-2022-007","978-87-5096-801-6","Eksport","Klassiker","B","77423","23-11-2023","1165","109.08","0.0793","10077.30","DKK","0.00","9917"
"13696","Salg","AUTH-1001","AFT-2022-007","978-87-6017-726-2","Online","Digital","B","56461","12-01-2024","704","221.02","0.0635","9986.47","DKK","0.00","9917"
"13697","Salg","AUTH-1001","AFT-2022-007","978-87-7018-233-1","Bibliotek","Lydbog","C","53765","26-12-2023","1324","470.76","0.0765","47681.40","DKK","0.00","9917"
"13698","Salg","AUTH-1001","AFT-2022-007","978-87-7407-185-3","Online","Indbundet","B","76450","07-12-2023","451","162.23","0.202","14779.48","EUR","0.00","9917"
"13699","ForskudMod","AUTH-1001","AFT-2022-007","978-87-8753-184-9","Online","Indbundet","D","57258","01-12-2023","1112","561.23","0.2197","136919.62","DKK","0.00","9917"
"13700","Retur","AUTH-1001","AFT-2022-007","978-87-8716-639-3","Online","Digital","D","60550","24-11-2023","-429","438.90","0.0915","-17228.36","DKK","0.00","9917"
"13701","Salg","AUTH-1001","AFT-2022-007","978-87-1821-557-2","Eksport","Digital","A","58771","21-11-2023","539","581.30","0.2147","67269.95","DKK","0.00","9917"
"13702","Retur","AUTH-1001","AFT-2022-007","978-87-3340-179-0","Boghandel","Pocket","A","95701","03-12-2023","-1461","71.14","0.2303","-23936.35","DKK","0.00","9917"
"13703","Retur","AUTH-1001","AFT-2022-007","978-87-6962-536-8","E-bog","Indbundet","D","99138","23-11-2023","-925","504.13","0.0705","-32875.58","DKK","0.00","9917"
"13704","Salg","AUTH-1001","AFT-2022-007","978-87-7417-565-0","Boghandel","Pocket","C","63643","27-11-2023","1767","490.99","0.1942","168483.91","DKK","0.00","9917"
"13705","Salg","AUTH-1001","AFT-2022-007","978-87-2237-166-0","Boghandel","Pocket","B","62623","01-01-2024","638","159.69","0.0934","9515.80","DKK","0.00","9917"
"13706","Retur","AUTH-1001","AFT-2022-007","978-87-2111-529-6","Boghandel","Digital","D","90338","08-01-2024","-332","281.43","0.2189","-20452.87","DKK","0.00","9917"
"13707","Salg","AUTH-1001","AFT-2022-007","978-87-6420-117-8","E-bog","Standard","D","54925","01-12-2023","1885","462.12","0.1887","164375.85","DKK","0.00","9917"
"13708","Salg","AUTH-1001","AFT-2022-007","978-87-6005-204-0","Boghandel","Standard","A","85051","12-12-2023","1199","223.66","0.1274","34164.65","NOK","0.00","9917"
"13709","Frieksp","AUTH-1001","AFT-2022-007","978-87-3722-783-9","E-bog","Indbundet","A","50534","24-12-2023","1692","356.41","0.0865","52163.45","NOK","0.00","9917"
"13710","Salg","AUTH-1001","AFT-2022-007","978-87-4888-076-4","Bibliotek","Digital","B","80320","08-12-2023","1226","494.92","0.1922","116621.56","DKK","0.00","9917"
"13711","Royalty","AUTH-1001","AFT-2022-007","978-87-9592-891-4","Subskription","Special","C","93003","26-11-2023","525","271.06","0.2025","28817.07","DKK","0.00","9917"
"13712","Salg","AUTH-1001","AFT-2022-007","978-87-4911-608-4","Bibliotek","Lydbog","B","57899","29-12-2023","544","416.36","0.1431","32412.13","DKK","0.00","9917"
"13713","Afgift","AUTH-1001","AFT-2022-007","978-87-4494-474-3","Online","Pocket","B","75891","28-12-2023","1098","202.81","0.121","26944.93","DKK","0.00","9917"
"13714","Salg","AUTH-1001","AFT-2022-007","978-87-2157-299-0","Bibliotek","Indbundet","A","81434","19-11-2023","191","176.04","0.1259","4233.22","DKK","0.00","9917"
"13715","Salg","AUTH-1001","AFT-2022-007","978-87-8276-461-7","Online","Digital","A","74046","24-12-2023","1929","465.90","0.0923","83131.00","DKK","0.00","9917"
"13716","Salg","AUTH-1001","AFT-2022-007","978-87-7206-773-5","Bibliotek","Lydbog","A","86807","15-12-2023","124","567.03","0.2425","17050.59","DKK","0.00","9917"
"13717","Salg","AUTH-1001","AFT-2022-007","978-87-8620-753-0","Subskription","Klassiker","B","85979","03-01-2024","1154","95.82","0.1699","18455.56","DKK","0.00","9917"
"13718","GarGlobal","AUTH-1001","AFT-2022-007","978-87-3507-398-8","E-bog","Klassiker","A","75638","07-12-2023","622","332.81","0.2379","49236.76","DKK","0.00","9917"
"13719","ForskudMod","AUTH-1001","AFT-2022-007","978-87-4627-856-3","Boghandel","Indbundet","A","80767","20-11-2023","1577","587.78","0.1314","121798.48","DKK","0.00","9917"
"13720","Frieksp","AUTH-1001","AFT-2022-007","978-87-2438-144-5","Online","Lydbog","D","55458","08-12-2023","1786","236.29","0.2237","94404.52","DKK","0.00","9917"
