"TRANSNR","TRANSTYPE","KONTO","AFTALE","ARTNR","KANAL","PRISGRUPPE","VILKAR","BILAGSNR","BILAGSDATO","ANTAL","STKPRIS","STKAFREGNSATS","BELOEB","VALUTA","SKAT","AFREGNBATCH"
"12745","Salg","AUTH-0215","AFT-2021-004","978-87-4654-840-6","Lydbog","Standard","C","52451","2020-11-08","2000","57.85","0.058","6710.60","DKK","0.00","2285"
"12746","Salg","AUTH-0215","AFT-2021-004","978-87-5497-683-3","Bibliotek","Lydbog","D","73003","2020-11-18","606","446.38","0.1571","42496.54","DKK","0.00","2285"
"12747","Salg","AUTH-0215","AFT-2021-004","978-87-8992-466-3","Bibliotek","Special","A","62610","2020-10-26","276","209.92","0.1344","7786.86","DKK","0.00","2285"
"12748","GarGlobal","AUTH-0215","AFT-2021-004","978-87-1181-216-7","Boghandel","Lydbog","D","86495","2020-10-24","723","130.61","0.1816","17148.68","DKK","0.00","2285"
"12749","Salg","AUTH-0215","AFT-2021-004","978-87-4315-071-8","Bibliotek","Klassiker","C","94811","2020-11-17","1590","312.92","0.0642","31942.25","DKK","0.00","2285"
"12750","Salg","AUTH-0215","AFT-2021-004","978-87-6310-323-7","Eksport","Digital","D","60627","2020-10-24","250","362.24","0.1304","11809.02","DKK","0.00","2285"
"12751","Retur","AUTH-0215","AFT-2021-004","978-87-4446-964-2","Bibliotek","Special","A","99748","2020-11-28","-749","463.04","0.1787","-61976.19","DKK","0.00","2285"
"12752","UnknownType","AUTH-0215","AFT-2021-004","978-87-8328-113-7","E-bog","Indbundet","A","82316","2020-12-20","1770","282.57","0.0754","37711.23","DKK","0.00","2285"
"12753","Salg","AUTH-0215","AFT-2021-004","978-87-5914-489-3","Subskription","Klassiker","D","70285","2020-12-02","627","41.34","0.051","1321.93","DKK","0.00","2285"
"12754","Retur","AUTH-0215","AFT-2021-004","978-87-3924-887-0","Bibliotek","Digital","C","65984","2020-12-08","-1148","40.35","0.2415","-11186.71","DKK","0.00","2285"
"12755","GarGlobal","AUTH-0215","AFT-2021-004","978-87-4973-780-7","E-bog","Lydbog","D","56528","2020-11-12","659","171.21","0.2213","6464.23","DKK","0.00","2285"
"12756","GarGlobalMod","AUTH-0215","AFT-2021-004","978-87-8974-767-5","Eksport","Standard","D","53759","2020-12-08","886","271.85","0.2401","57830.27","DKK","0.00","2285"
"12757","Salg","AUTH-0215","AFT-2021-004","978-87-2642-599-4","Lydbog","Standard","B","82520","2020-11-27","432","94.38","0.137","5585.79","DKK","0.00","2285"
