"TRANSNR";"TRANSTYPE";"KONTO";"AFTALE";"ARTNR";"KANAL";"PRISGRUPPE";"VILKAR";"BILAGSNR";"BILAGSDATO";"ANTAL";"STKPRIS";"STKAFREGNSATS";"BELOEB";"VALUTA";"SKAT";"AFREGNBATCH"
"16209";"SpecielMod";"AUTH-0734";"AFT-2025-071";"978-87-9340-472-4";"Eksport";"Special";"B";"53942";"07-02-2021";"191";"71.24";"0.1005";"1367.49";"SEK";"0.00";"7217"
"16210";"Salg";"AUTH-0734";"AFT-2025-071";"978-87-4062-096-2";"E-bog";"Special";"D";"86345";"10-02-2021";"1287";"145.32";"0.2373";"44381.47";"DKK";"0.00";"7217"
"16211";"Speciel";"AUTH-0734";"AFT-2025-071";"978-87-3966-009-2";"Lydbog";"Klassiker";"D";"51923";"29-12-2020";"1721";"322.39";"0.1402";"77787.61";"NOK";"0.00";"7217"
"16212";"Speciel";"AUTH-0734";"AFT-2025-071";"978-87-9025-751-4";"Online";"Standard";"B";"89840";"03-01-2021";"122";"434.60";"0.1795";"9517.31";"DKK";"0.00";"7217"
"16213";"Salg";"AUTH-0734";"AFT-2025-071";"978-87-0562-695-4";"Boghandel";"Lydbog";"C";"63446";"18-01-2021";"1210";"242.60";"0.1639";"48112.19";"DKK";"0.00";"7217"
"16214";"SpecielMod";"AUTH-0734";"AFT-2025-071";"978-87-1586-319-6";"Eksport";"Special";"A";"95117";"19-01-2021";"755";"505.50";"0.0599";"22860.98";"DKK";"0.00";"7217"
"16215";"Salg";"AUTH-0734";"AFT-2025-071";"978-87-1392-942-9";"Eksport";"Pocket";"B";"82210";"06-01-2021";"1596";"587.79";"0.1537";"144187.94";"DKK";"0.00";"7217"
"16216";"SpecielMod";"AUTH-0734";"AFT-2025-071";"978-87-0200-731-2";"Boghandel";"Lydbog";"A";"81499";"08-01-2021";"-1293";"43.56";"0.1837";"-10346.55";"DKK";"0.00";"7217"
"16217";"Speciel";"AUTH-0734";"AFT-2025-071";"978-87-1710-434-1";"Eksport";"Special";"B";"83098";"23-01-2021";"1458";"516.93";"0.0567";"42733.88";"DKK";"0.00";"7217"
"16218";"Speciel";"AUTH-0734";"AFT-2025-071";"978-87-7611-478-7";"Eksport";"Lydbog";"B";"71420";"01-02-2021";"1054";"103.32";"0.2248";"24480.56";"DKK";"0.00";"7217"
"16219";"Korrektion";"AUTH-0734";"AFT-2025-071";"978-87-3969-459-2";"Bibliotek";"Pocket";"D";"55644";"22-01-2021";"223";"227.87";"0.1838";"9339.80";"DKK";"0.00";"7217"
"16220";"Speciel";"AUTH-0734";"AFT-2025-071";"978-87-9551-462-9";"Subskription";"Indbundet";"D";"82308";"05-01-2021";"506";"560.35";"0.1963";"55658.33";"DKK";"0.00";"7217"
"16221";"Salg";"AUTH-0734";"AFT-2025-071";"978-87-7665-268-5";"Subskription";"Klassiker";"B";"69373";"15-02-2021";"737";"170.90";"0.139";"17507.51";"DKK";"0.00";"7217"
"16222";"Salg";"AUTH-0734";"AFT-2025-071";"978-87-6644-690-4";"Boghandel";"Standard";"C";"99280";"24-01-2021";"332";"185.92";"0.1357";"8376.14";"DKK";"0.00";"7217"
"16223";"Salg";"AUTH-0734";"AFT-2025-071";"978-87-9718-933-7";"E-bog";"Indbundet";"A";"58236";"08-02-2021";"256";"372.01";"0.1378";"13123.32";"DKK";"0.00";"7217"
"16224";"Salg";"AUTH-0734";"AFT-2025-071";"978-87-4880-719-8";"Subskription";"Indbundet";"B";"69907";"03-01-2021";"1386";"411.53";"0.1305";"74434.67";"DKK";"0.00";"7217"
"16225";"SpecielMod";"AUTH-0734";"AFT-2025-071";"978-87-2124-390-6";"Boghandel";"Klassiker";"C";"92348";"09-02-2021";"1300";"327.01";"0.1207";"51311.14";"EUR";"0.00";"7217"
"16226";"Salg";"AUTH-0734";"AFT-2025-071";"978-87-9159-429-8";"Online";"Indbundet";"B";"82462";"20-01-2021";"1865";"253.26";"0.169";"79823.75";"DKK";"0.00";"7217"
"16227";"Salg";"AUTH-0734";"AFT-2025-071";"978-87-6071-870-0";"Lydbog";"Klassiker";"D";"58870";"19-01-2021";"1655";"369.18";"0.1385";"84622.52";"DKK";"0.00";"7217"
"16228";"SpecielMod";"AUTH-0734";"AFT-2025-071";"978-87-9097-137-3";"E-bog";"Digital";"B";"83838";"15-01-2021";"1533";"393.73";"0.1604";"96815.53";"DKK";"0.00";"7217"
"16229";"Salg";"AUTH-0734";"AFT-2025-071";"978-87-8497-277-5";"E-bog";"Digital";"C";"53277";"21-02-2021";"1183";"81.92";"0.1125";"10902.53";"DKK";"0.00";"7217"
"16230";"Salg";"AUTH-0734";"AFT-2025-071";"978-87-1676-456-0";"Subskription";"Klassiker";"B";"70030";"06-02-2021";"1096";"520.43";"0.2006";"114420.49";"DKK";"0.00";"7217"
"16231";"SpecielMod";"AUTH-0734";"AFT-2025-071";"978-87-8634-058-9";"Bibliotek";"Special";"D";"53201";"31-12-2020";"295";"459.48";"0.1724";"23368.23";"DKK";"0.00";"7217"
"16232";"Salg";"AUTH-0734";"AFT-2025-071";"978-87-7359-471-1";"E-bog";"Special";"B";"65682";"23-02-2021";"629";"407.06";"0.1989";"50926.50";"DKK";"0.00";"7217"
"16233";"Salg";"AUTH-0734";"AFT-2025-071";"978-87-6479-907-1";"E-bog";"Standard";"A";"79068";"16-02-2021";"1457";"139.00";"0.0538";"10895.74";"EUR";"0.00";"7217"
"16234";"Salg";"AUTH-0734";"AFT-2025-071";"978-87-5002-980-9";"Subskription";"Pocket";"C";"87255";"19-01-2021";"1779";"371.79";"0.1156";"76459.51";"DKK";"0.00";"7217"
"16235";"Salg";"AUTH-0734";"AFT-2025-071";"978-87-8516-357-8";"Bibliotek";"Pocket";"A";"90603";"27-01-2021";"1018";"118.40";"0.1546";"18634.12";"DKK";"0.00";"7217"
"16236";"Salg";"AUTH-0734";"AFT-2025-071";"978-87-6456-939-1";"E-bog";"Klassiker";"B";"55562";"23-01-2021";"1120";"482.68";"0.0764";"41301.96";"DKK";"0.00";"7217"
"16237";"Salg";"AUTH-0734";"AFT-2025-071";"978-87-8242-781-9";"Subskription";"Klassiker";"C";"53614";"13-01-2021";"1731";"515.13";"0.0568";"50647.99";"DKK";"0.00";"7217"
"16238";"Salg";"AUTH-0734";"AFT-2025-071";"978-87-3714-227-9";"Subskription";"Standard";"D";"78633";"13-01-2021";"821";"368.19";"0.0592";"17895.21";"DKK";"0.00";"7217"
"16239";"Salg";"AUTH-0734";"AFT-2025-071";"978-87-3278-855-7";"Eksport";"Digital";"C";"75003";"06-01-2021";"992";"175.19";"0.2021";"35122.65";"DKK";"0.00";"7217"
