"TRANSNR";"TRANSTYPE";"KONTO";"AFTALE";"ARTNR";"KANAL";"PRISGRUPPE";"VILKAR";"BILAGSNR";"BILAGSDATO";"ANTAL";"STKPRIS";"STKAFREGNSATS";"BELOEB";"VALUTA";"SKAT";"AFREGNBATCH"
"13482";"Salg";"AUTH-0042";"AFT-2025-050";"978-87-1991-365-1";"Boghandel";"Digital";"D";"99886";"2021-07-22";"860";"206.62";"0.0599";"10643.82";"DKK";"0.00";"2469"
"13483";"Salg";"AUTH-0042";"AFT-2025-050";"978-87-2600-628-5";"E-bog";"Indbundet";"C";"62408";"2021-06-21";"1542";"397.52";"0.1818";"111439.01";"DKK";"0.00";"2469"
"13484";"GarGlobal";"AUTH-0042";"AFT-2025-050";"978-87-9938-959-9";"Bibliotek";"Pocket";"C";"60959";"2021-07-17";"616";"238.95";"0.2309";"33986.91";"DKK";"0.00";"2469"
"13485";"Salg";"AUTH-0042";"AFT-2025-050";"978-87-7529-497-8";"Bibliotek";"Standard";"D";"60642";"2021-06-17";"939";"232.17";"0.1232";"26858.54";"DKK";"0.00";"2469"
"13486";"ForskudMod";"AUTH-0042";"AFT-2025-050";"978-87-3836-766-4";"Subskription";"Digital";"C";"98181";"2021-06-16";"711";"469.53";"0.0616";"20564.29";"DKK";"0.00";"2469"
"13487";"Salg";"AUTH-0042";"AFT-2025-050";"978-87-3387-534-8";"Boghandel";"Pocket";"B";"64056";"2021-07-13";"366";"71.89";"0.1074";"2825.88";"DKK";"0.00";"2469"
"13488";"Retur";"AUTH-0042";"AFT-2025-050";"978-87-7498-839-7";"Bibliotek";"Lydbog";"C";"95425";"2021-07-16";"-871";"533.88";"0.2441";"-113508.81";"DKK";"0.00";"2469"
"13489";"Salg";"AUTH-0042";"AFT-2025-050";"978-87-3093-535-9";"Bibliotek";"Pocket";"C";"62824";"2021-07-12";"355";"578.78";"0.1204";"24738.21";"DKK";"0.00";"2469"
"13490";"Salg";"AUTH-0042";"AFT-2025-050";"978-87-0689-924-1";"Subskription";"Special";"D";"71029";"2021-07-30";"964";"88.00";"0.1216";"10315.57";"DKK";"0.00";"2469"
"13491";"Korrektion";"AUTH-0042";"AFT-2025-050";"978-87-1030-221-8";"Boghandel";"Standard";"A";"56986";"2021-07-04";"1466";"109.55";"0.1664";"26723.89";"DKK";"0.00";"2469"
"13492";"Salg";"AUTH-0042";"AFT-2025-050";"978-87-3232-854-8";"Boghandel";"Digital";"D";"76822";"2021-06-21";"203";"178.90";"0.0753";"2734.65";"DKK";"0.00";"2469"
