"TRANSNR","TRANSTYPE","KONTO","AFTALE","ARTNR","KANAL","PRISGRUPPE","VILKAR","BILAGSNR","BILAGSDATO","ANTAL","STKPRIS","STKAFREGNSATS","BELOEB","VALUTA","SKAT","AFREGNBATCH"
"13809","Salg","AUTH-1506","AFT-2019-003","978-87-7017-744-3","Boghandel","Digital","A","74592","28/08/2024","812","41.18","0.0942","3149.87","DKK","0.00","8602"
"13810","Salg","AUTH-1506","AFT-2019-003","978-87-0783-123-3","Lydbog","Standard","D","64828","05/09/2024","456","95.56","0.1138","4958.88","DKK","0.00","8602"
"13811","Salg","AUTH-1506","AFT-2019-003","978-87-7410-375-2","Lydbog","Special","D","98026","28/08/2024","215","199.62","0.126","5407.71","DKK","0.00","8602"
"13812","Retur","AUTH-1506","AFT-2019-003","978-87-3973-278-2","Lydbog","Lydbog","B","64119","11/08/2024","-806","48.24","0.2124","-7909.01","DKK","0.00","8602"
"13813","Retur","AUTH-1506","AFT-2019-003","978-87-9914-995-7","Bibliotek","Lydbog","A","50494","14/08/2024","-265","212.94","0.227","-13099.87","DKK","0.00","8602"
"13814","Retur","AUTH-1506","AFT-2019-003","978-87-4599-145-6","Bibliotek","Indbundet","D","83055","01/08/2024","-303","468.46","0.0641","-9122.17","NOK","0.00","8602"
"13815","Salg","AUTH-1506","AFT-2019-003","978-87-6042-121-1","E-bog","Special","A","73178","19/08/2024","1648","529.65","0.0568","49851.59","DKK","0.00","8602"
"13816","Salg","AUTH-1506","AFT-2019-003","978-87-8654-255-6","Boghandel","Standard","A","59318","17/08/2024","1450","276.61","0.1909","76567.03","DKK","0.00","8602"
"13817","Salg","AUTH-1506","AFT-2019-003","978-87-5441-710-7","Online","Klassiker","A","89358","06/08/2024","712","578.19","0.1266","52117.58","DKK","0.00","8602"
"13818","Salg","AUTH-1506","AFT-2019-003","978-87-0706-487-7","E-bog","Digital","D","86801","26/08/2024","291","436.78","0.1169","14376.57","DKK","0.00","8602"
"13819","Retur","AUTH-1506","AFT-2019-003","978-87-0477-004-7","Boghandel","Special","C","79272","22/09/2024","-1068","141.13","0.0515","-7762.43","DKK","0.00","8602"
"13820","Frieksp","AUTH-1506","AFT-2019-003","978-87-5538-274-9","Online","Special","B","75864","14/09/2024","443","347.77","0.0812","12509.84","DKK","0.00","8602"
"13821","Salg","AUTH-1506","AFT-2019-003","978-87-3483-732-1","Bibliotek","Standard","D","66817","28/07/2024","1834","570.99","0.2214","231982.85","DKK","0.00","8602"
"13822","Korrektion","AUTH-1506","AFT-2019-003","978-87-0954-185-7","Eksport","Indbundet","A","56889","24/08/2024","1424","124.10","0.0924","16328.78","DKK","0.00","8602"
"13823","Salg","AUTH-1506","AFT-2019-003","978-87-4330-509-5","Subskription","Standard","A","65821","19/09/2024","1105","60.34","0.1662","11081.50","DKK","0.00","8602"
"13824","Salg","AUTH-1506","AFT-2019-003","978-87-0876-848-4","Boghandel","Lydbog","D","60190","12/08/2024","804","242.51","0.1543","30085.11","DKK","0.00","8602"
"13825","Retur","AUTH-1506","AFT-2019-003","978-87-8575-564-3","Online","Digital","D","55664","24/08/2024","-639","581.30","0.1663","-62021.63","DKK","0.00","8602"
"13826","Salg","AUTH-1506","AFT-2019-003","978-87-6749-422-5","Online","Digital","C","53802","17/08/2024","1563","512.28","0.068","54447.17","DKK","0.00","8602"
"13827","Retur","AUTH-1506","AFT-2019-003","978-87-9871-420-0","Online","Pocket","A","79919","13/08/2024","-1498","550.96","0.0945","-77994.45","DKK","0.00","8602"
"13828","Royalty","AUTH-1506","AFT-2019-003","978-87-0493-863-8","Lydbog","Pocket","A","91897","28/07/2024","769","113.34","0.0958","8810.12","DKK","0.00","8602"
"13829","Retur","AUTH-1506","AFT-2019-003","978-87-4776-306-8","Online","Pocket","D","79755","02/08/2024","-656","585.62","0.1212","-46561.01","DKK","0.00","8602"
"13830","Korrektion","AUTH-1506","AFT-2019-003","978-87-9915-897-3","Bibliotek","Indbundet","D","82218","07/09/2024","449","391.50","0.1781","31307.04","DKK","0.00","8602"
"13831","GarGlobal","AUTH-1506","AFT-2019-003","978-87-2983-687-2","Boghandel","Indbundet","C","55149","13/08/2024","840","95.08","0.0542","4345.47","DKK","0.00","8602"
"13832","Salg","AUTH-1506","AFT-2019-003","978-87-1074-981-5","E-bog","Indbundet","C","74977","31/08/2024","1152","326.53","0.209","78617.98","DKK","0.00","8602"
"13833","Salg","AUTH-1506","AFT-2019-003","978-87-8729-701-1","Boghandel","Indbundet","A","92056","06/08/2024","1494","135.85","0.1329","26973.37","DKK","0.00","8602"
"13834","Salg","AUTH-1506","AFT-2019-003","978-87-4206-051-3","Bibliotek","Digital","D","77358","23/08/2024","1594","84.88","0.175","23677.28","DKK","0.00","8602"
"13835","Salg","AUTH-1506","AFT-2019-003","978-87-2682-194-9","Bibliotek","Indbundet","B","95379","24/07/2024","1455","284.60","0.1664","68905.08","DKK","0.00","8602"
"13836","Salg","AUTH-1506","AFT-2019-003","978-87-1073-257-2","E-bog","Pocket","B","61858","22/09/2024","749","384.73","0.078","22476.70","DKK","0.00","8602"
"13837","Salg","AUTH-1506","AFT-2019-003","978-87-8990-564-8","Subskription","Standard","B","55350","18/09/2024","1957","485.02","0.2488","236157.01","DKK","0.00","8602"
"13838","Salg","AUTH-1506","AFT-2019-003","978-87-4631-186-4","Subskription","Standard","A","85031","25/07/2024","1561","535.42","0.141","118174.19","DKK","0.00","8602"
