"TRANSNR";"TRANSTYPE";"KONTO";"AFTALE";"ARTNR";"KANAL";"PRISGRUPPE";"VILKAR";"BILAGSNR";"BILAGSDATO";"ANTAL";"STKPRIS";"STKAFREGNSATS";"BELOEB";"VALUTA";"SKAT";"AFREGNBATCH"
"11621";"Salg";"AUTH-1708";"AFT-2018-042";"978-87-7917-913-4";"Online";"Indbundet";"B";"81493";"12-05-2026";"1886";"339.25";"0.0618";"39541.22";"DKK";"0.00";"2185"
"11622";"Salg";"AUTH-1708";"AFT-2018-042";"978-87-1321-940-7";"Subskription";"Lydbog";"A";"50282";"16-06-2026";"278";"202.63";"0.1428";"8044.09";"DKK";"0.00";"2185"
"11623";"Salg";"AUTH-1708";"AFT-2018-042";"978-87-1287-452-2";"Lydbog";"Klassiker";"A";"89817";"10-06-2026";"1861";"305.70";"0.1894";"107751.12";"DKK";"0.00";"2185"
"11624";"Salg";"AUTH-1708";"AFT-2018-042";"978-87-4639-138-5";"Eksport";"Special";"C";"82723";"01-06-2026";"1616";"578.50";"0.0575";"53754.22";"DKK";"0.00";"2185"
"11625";"Salg";"AUTH-1708";"AFT-2018-042";"978-87-9423-215-9";"Lydbog";"Standard";"D";"55400";"07-05-2026";"582";"528.99";"0.0652";"20073.27";"DKK";"0.00";"2185"
"11626";"Retur";"AUTH-1708";"AFT-2018-042";"978-87-6261-684-4";"Online";"Indbundet";"A";"61501";"12-05-2026";"-1668";"225.93";"0.0834";"-31429.39";"DKK";"0.00";"2185"
"11627";"Forskud";"AUTH-1708";"AFT-2018-042";"978-87-4717-989-0";"E-bog";"Indbundet";"A";"73520";"19-06-2026";"1444";"379.11";"0.1541";"84359.71";"NOK";"0.00";"2185"
"11628";"Korrektion";"AUTH-1708";"AFT-2018-042";"978-87-9300-519-8";"Eksport";"Klassiker";"C";"72797";"20-05-2026";"1288";"428.72";"0.1181";"65213.80";"DKK";"0.00";"2185"
"11629";"Frieksp";"AUTH-1708";"AFT-2018-042";"978-87-4227-172-8";"Online";"Indbundet";"C";"76548";"15-05-2026";"799";"259.96";"0.2021";"41977.79";"DKK";"0.00";"2185"
"11630";"Salg";"AUTH-1708";"AFT-2018-042";"";"Bibliotek";"Special";"A";"61798";"18-05-2026";"1677";"245.09";"0.1797";"73859.56";"DKK";"0.00";"2185"
"11631";"Salg";"AUTH-1708";"AFT-2018-042";"978-87-1006-689-9";"Boghandel";"Digital";"D";"99787";"12-06-2026";"121";"412.53";"0.2477";"12364.23";"DKK";"0.00";"2185"
