"TRANSNR","TRANSTYPE","KONTO","AFTALE","ARTNR","KANAL","PRISGRUPPE","VILKAR","BILAGSNR","BILAGSDATO","ANTAL","STKPRIS","STKAFREGNSATS","BELOEB","VALUTA","SKAT","AFREGNBATCH"
"11927","Salg","AUTH-1506","AFT-2024-001","978-87-8785-185-5","Lydbog","Klassiker","A","91137","11-11-2023","1910","269.22","0.1692","87004.37","DKK","0.00","9205"
"11928","Retur","AUTH-1506","AFT-2024-001","978-87-2800-727-3","Bibliotek","Special","B","93828","24-11-2023","-321","498.92","0.5949","-95275.21","DKK","0.00","9205"
"11929","Salg","AUTH-1506","AFT-2024-001","978-87-5640-783-0","Eksport","Pocket","B","64545","23-11-2023","1490","442.19","0.2062","135857.57","DKK","0.00","9205"
"11930","Frieksp","AUTH-1506","AFT-2024-001","978-87-4549-836-8","Lydbog","Special","C","52314","19-11-2023","946","537.37","0.6554","333173.91","DKK","0.00","9205"
"11931","Korrektion","AUTH-1506","AFT-2024-001","978-87-1857-116-6","Eksport","Klassiker","D","89820","01-12-2023","624","231.58","0.0591","8540.30","DKK","0.00","9205"
"11932","Retur","AUTH-1506","AFT-2024-001","978-87-3180-739-6","Subskription","Special","B","72904","28-10-2023","-1909","113.34","0.194","-41975.02","DKK","0.00","9205"
"11933","Korrektion","AUTH-1506","AFT-2024-001","978-87-7773-031-3","Bibliotek","Digital","B","60543","26-10-2023","776","311.70","0.7868","190310.55","DKK","0.00","9205"
"11934","Korrektion","AUTH-1506","AFT-2024-001","978-87-2012-402-2","Boghandel","Indbundet","C","71053","10-11-2023","1954","243.31","0.2136","101551.37","DKK","0.00","9205"
"11935","Salg","AUTH-1506","AFT-2024-001","978-87-0998-397-8","Bibliotek","Indbundet","A","70306","21-11-2023","823","389.08","0.7413","237373.78","DKK","0.00","9205"
"11936","Retur","AUTH-1506","AFT-2024-001","978-87-3830-009-8","Boghandel","Special","B","70133","28-11-2023","-163","195.57","0.1126","-3589.45","NOK","0.00","9205"
"11937","Salg","AUTH-1506","AFT-2024-001","978-87-9965-466-6","Boghandel","Special","C","73542","01-11-2023","313","321.29","0.1493","15014.17","DKK","0.00","9205"
"11938","Salg","AUTH-1506","AFT-2024-001","978-87-5275-600-0","Lydbog","Klassiker","D","68806","03-11-2023","340","102.44","0.0575","2002.70","DKK","0.00","9205"
"11939","Retur","AUTH-1506","AFT-2024-001","978-87-1251-589-0","Eksport","Lydbog","D","91224","18-12-2023","-1509","54.69","0.7566","-62440.09","DKK","0.00","9205"
"11940","Salg","AUTH-1506","AFT-2024-001","978-87-6660-812-8","Subskription","Digital","A","69261","24-11-2023","446","359.50","0.1476","23665.74","DKK","0.00","9205"
"11941","Salg","AUTH-1506","AFT-2024-001","978-87-6361-527-3","Eksport","Lydbog","A","68471","10-12-2023","801","377.92","0.2158","65325.66","DKK","0.00","9205"
"11942","Salg","AUTH-1506","AFT-2024-001","978-87-4824-886-1","Bibliotek","Pocket","A","65381","18-11-2023","392","442.05","0.0989","17137.75","DKK","0.00","9205"
"11943","Royalty","AUTH-1506","AFT-2024-001","978-87-1802-669-7","Boghandel","Indbundet","C","89602","27-10-2023","1664","99.25","0.1027","16961.11","DKK","0.00","9205"
"11944","Salg","AUTH-1506","AFT-2024-001","978-87-0471-891-9","E-bog","Klassiker","D","90346","10-12-2023","1702","87.96","0.166","24851.51","DKK","0.00","9205"
"11945","Salg","AUTH-1506","AFT-2024-001","978-87-9247-688-3","E-bog","Indbundet","D","64447","22-10-2023","1371","472.14","0.1079","69844.10","DKK","0.00","9205"
"11946","Salg","AUTH-1506","AFT-2024-001","978-87-1811-814-9","Boghandel","Indbundet","A","95705","25-10-2023","20","569.85","0.1184","1349.40","DKK","0.00","9205"
"11947","Salg","AUTH-1506","AFT-2024-001","978-87-9044-708-3","Online","Indbundet","A","53130","06-11-2023","740","265.58","0.1645","32329.05","DKK","0.00","9205"
"11948","Royalty","AUTH-1506","AFT-2024-001","978-87-1031-456-3","Boghandel","Indbundet","D","71503","07-12-2023","557","209.03","0.611","71138.55","DKK","0.00","9205"
"11949","Royalty","AUTH-1506","AFT-2024-001","978-87-4033-744-0","Lydbog","Indbundet","A","79476","22-11-2023","1267","386.96","0.1727","84671.07","DKK","0.00","9205"
"11950","Salg","AUTH-1506","AFT-2024-001","978-87-3694-126-2","Lydbog","Pocket","B","51108","13-11-2023","1974","200.93","0.0509","20188.76","DKK","0.00","9205"
"11951","Salg","AUTH-1506","AFT-2024-001","978-87-1805-763-9","Eksport","Digital","D","89489","21-10-2023","180","420.00","0.9486","71714.16","DKK","0.00","9205"
"11952","Retur","AUTH-1506","AFT-2024-001","978-87-3606-400-8","Bibliotek","Special","A","69681","14-11-2023","-576","280.79","0.7356","-118972.30","DKK","0.00","9205"
"11953","Afgift","AUTH-1506","AFT-2024-001","978-87-8170-361-7","Eksport","Digital","C","80705","18-11-2023","52","592.30","0.2343","7216.35","DKK","0.00","9205"
"11954","Salg","AUTH-1506","AFT-2024-001","978-87-3759-493-1","Subskription","Standard","D","79107","22-10-2023","1657","144.89","0.248","59540.52","DKK","0.00","9205"
"11955","GarGlobal","AUTH-1506","AFT-2024-001","978-87-9600-490-7","Boghandel","Standard","A","55644","07-11-2023","349","554.56","0.1036","20050.89","DKK","0.00","9205"
