"TRANSNR";"TRANSTYPE";"KONTO";"AFTALE";"ARTNR";"KANAL";"PRISGRUPPE";"VILKAR";"BILAGSNR";"BILAGSDATO";"ANTAL";"STKPRIS";"STKAFREGNSATS";"BELOEB";"VALUTA";"SKAT";"AFREGNBATCH"
"15337";"Salg";"AUTH-1607";"AFT-2022-007";"978-87-4723-803-0";"Boghandel";"Indbundet";"B";"69584";"11/12/2018";"323";"286.28";"0.2354";"21767.07";"DKK";"0.00";"7454"
"15338";"Salg";"AUTH-1607";"AFT-2022-007";"978-87-1243-205-0";"Online";"Special";"C";"89947";"05/01/2019";"1083";"367.17";"N/A";"32567.13";"DKK";"0.00";"7454"
"15339";"Salg";"AUTH-1607";"AFT-2022-007";"978-87-6136-763-1";"E-bog";"Indbundet";"B";"85260";"28/11/2018";"629";"385.72";"0.1543";"37435.94";"DKK";"0.00";"7454"
"15340";"Retur";"AUTH-1607";"AFT-2022-007";"978-87-0312-013-3";"E-bog";"Pocket";"C";"89639";"06/01/2019";"-1520";"548.52";"0.1985";"-165499.45";"DKK";"0.00";"7454"
"15341";"Frieksp";"AUTH-1607";"AFT-2022-007";"978-87-6521-177-0";"Lydbog";"Indbundet";"C";"60969";"20/11/2018";"1790";"439.84";"0.2177";"171398.17";"DKK";"0.00";"7454"
"15342";"ForskudMod";"AUTH-1607";"AFT-2022-007";"978-87-9390-306-7";"Boghandel";"Digital";"A";"93682";"21/12/2018";"639";"486.13";"0.0746";"23173.53";"DKK";"0.00";"7454"
"15343";"Salg";"AUTH-1607";"AFT-2022-007";"978-87-2907-834-0";"Online";"Lydbog";"A";"58723";"01/01/2019";"3";"87.14";"0.1424";"37.23";"DKK";"0.00";"7454"
"15344";"Salg";"AUTH-1607";"AFT-2022-007";"978-87-5930-608-6";"Online";"Standard";"A";"65972";"12/01/2019";"558";"142.04";"0";"14028.72";"DKK";"0.00";"7454"
"15345";"Retur";"AUTH-1607";"AFT-2022-007";"978-87-1187-274-1";"Online";"Digital";"C";"55417";"04/12/2018";"-357";"596.17";"0.1712";"-36436.96";"DKK";"0.00";"7454"
"15346";"Royalty";"AUTH-1607";"AFT-2022-007";"978-87-3115-969-3";"Bibliotek";"Special";"A";"88949";"09/12/2018";"1639";"228.72";"0.1221";"45771.88";"DKK";"0.00";"7454"
"15347";"Salg";"AUTH-1607";"AFT-2022-007";"978-87-8557-634-7";"E-bog";"Special";"A";"64597";"13/12/2018";"254";"456.29";"0.1366";"15831.62";"DKK";"0.00";"7454"
"15348";"Korrektion";"AUTH-1607";"AFT-2022-007";"978-87-7393-045-8";"Bibliotek";"Standard";"B";"56358";"16/01/2019";"1462";"553.99";"";"115415.51";"DKK";"0.00";"7454"
"15349";"Afgift";"AUTH-1607";"AFT-2022-007";"978-87-9054-253-5";"Eksport";"Standard";"B";"80346";"28/11/2018";"1933";"77.19";"N/A";"26439.71";"DKK";"0.00";"7454"
"15350";"Forskud";"AUTH-1607";"AFT-2022-007";"978-87-8728-782-1";"Online";"Standard";"D";"91024";"13/01/2019";"1572";"250.80";"0.0518";"20422.54";"DKK";"0.00";"7454"
"15351";"Salg";"AUTH-1607";"AFT-2022-007";"978-87-4836-625-1";"E-bog";"Pocket";"B";"59637";"25/12/2018";"466";"381.45";"-0.05";"26325.62";"DKK";"0.00";"7454"
"15352";"Salg";"AUTH-1607";"AFT-2022-007";"978-87-5595-223-2";"Lydbog";"Indbundet";"B";"65337";"30/12/2018";"1850";"585.87";"0.1685";"182630.33";"DKK";"0.00";"7454"
"15353";"Salg";"AUTH-1607";"AFT-2022-007";"978-87-5185-079-2";"Bibliotek";"Klassiker";"A";"56637";"19/01/2019";"988";"477.70";"0.0828";"39078.92";"DKK";"0.00";"7454"
"15354";"Afgift";"AUTH-1607";"AFT-2022-007";"978-87-0003-889-9";"Lydbog";"Standard";"D";"65175";"28/11/2018";"206";"87.65";"0";"4483.28";"NOK";"0.00";"7454"
"15355";"Salg";"AUTH-1607";"AFT-2022-007";"978-87-7496-126-0";"Lydbog";"Special";"A";"80816";"09/01/2019";"1192";"498.49";"0";"83247.43";"DKK";"0.00";"7454"
"15356";"Salg";"AUTH-1607";"AFT-2022-007";"978-87-9091-023-5";"Subskription";"Indbundet";"D";"67733";"27/12/2018";"163";"358.63";"0";"5740.45";"DKK";"0.00";"7454"
"15357";"Frieksp";"AUTH-1607";"AFT-2022-007";"978-87-1949-235-4";"Boghandel";"Standard";"D";"81827";"23/11/2018";"1269";"423.93";"-0.05";"97963.82";"DKK";"0.00";"7454"
"15358";"Salg";"AUTH-1607";"AFT-2022-007";"978-87-0550-144-2";"Subskription";"Indbundet";"D";"81891";"24/11/2018";"449";"32.03";"N/A";"1019.65";"DKK";"0.00";"7454"
"15359";"Retur";"AUTH-1607";"AFT-2022-007";"978-87-3535-423-0";"Boghandel";"Pocket";"A";"72795";"08/01/2019";"-875";"240.62";"N/A";"-19390.96";"NOK";"0.00";"7454"
"15360";"Retur";"AUTH-1607";"AFT-2022-007";"978-87-8264-249-6";"Lydbog";"Indbundet";"A";"90648";"13/01/2019";"-168";"182.97";"0.1532";"-4709.21";"DKK";"0.00";"7454"
"15361";"Frieksp";"AUTH-1607";"AFT-2022-007";"978-87-5854-739-8";"Boghandel";"Klassiker";"C";"50996";"31/12/2018";"1989";"343.77";"0.1636";"111862.90";"DKK";"0.00";"7454"
"15362";"Salg";"AUTH-1607";"AFT-2022-007";"978-87-9242-628-4";"Eksport";"Standard";"B";"51287";"12/01/2019";"1743";"75.24";"0.2152";"28222.04";"DKK";"0.00";"7454"
"15363";"Salg";"AUTH-1607";"AFT-2022-007";"978-87-2171-146-7";"Eksport";"Klassiker";"B";"70617";"22/11/2018";"1897";"294.24";"0";"63241.03";"DKK";"0.00";"7454"
"15364";"Salg";"AUTH-1607";"AFT-2022-007";"978-87-1430-276-4";"Bibliotek";"Indbundet";"D";"93975";"26/12/2018";"927";"402.09";"0";"67651.84";"DKK";"0.00";"7454"
"15365";"Salg";"AUTH-1607";"AFT-2022-007";"978-87-2832-420-2";"Subskription";"Indbundet";"A";"58280";"22/11/2018";"85";"374.43";"";"3284.50";"DKK";"0.00";"7454"
"15366";"Royalty";"AUTH-1607";"AFT-2022-007";"978-87-4263-331-1";"Lydbog";"Lydbog";"D";"55569";"01/12/2018";"415";"119.75";"0.1331";"6614.57";"DKK";"0.00";"7454"
"15367";"Salg";"AUTH-1607";"AFT-2022-007";"978-87-0551-629-3";"E-bog";"Special";"C";"54508";"29/12/2018";"960";"295.79";"0.2081";"59091.74";"NOK";"0.00";"7454"
"15368";"Frieksp";"AUTH-1607";"AFT-2022-007";"978-87-4961-746-8";"Boghandel";"Lydbog";"D";"83001";"12/01/2019";"517";"341.54";"0.1751";"30918.49";"DKK";"0.00";"7454"
"15369";"Salg";"AUTH-1607";"AFT-2022-007";"978-87-2075-704-6";"Eksport";"Digital";"C";"93936";"07/12/2018";"1608";"387.79";"-0.05";"130761.86";"DKK";"0.00";"7454"
"15370";"Royalty";"AUTH-1607";"AFT-2022-007";"978-87-3763-174-2";"Boghandel";"Indbundet";"B";"80045";"16/12/2018";"1657";"317.64";"0.2455";"129213.89";"DKK";"0.00";"7454"
"15371";"Salg";"AUTH-1607";"AFT-2022-007";"978-87-8272-596-0";"Online";"Standard";"B";"70792";"21/12/2018";"931";"156.70";"0.1094";"15960.11";"DKK";"0.00";"7454"
"15372";"Salg";"AUTH-1607";"AFT-2022-007";"978-87-4164-756-2";"E-bog";"Standard";"D";"71656";"26/11/2018";"48";"507.23";"0.1714";"4173.08";"DKK";"0.00";"7454"
"15373";"Royalty";"AUTH-1607";"AFT-2022-007";"978-87-1579-614-2";"E-bog";"Lydbog";"C";"68021";"04/12/2018";"1548";"116.35";"0.2372";"42722.04";"DKK";"0.00";"7454"
