"TRANSNR","TRANSTYPE","KONTO","AFTALE","ARTNR","KANAL","PRISGRUPPE","VILKAR","BILAGSNR","BILAGSDATO","ANTAL","STKPRIS","STKAFREGNSATS","BELOEB","VALUTA","SKAT","AFREGNBATCH"
"18377","Forskud","AUTH-0401","AFT-2022-015","978-87-9721-295-0","Eksport","Klassiker","B","59575","2018-02-22","1106","497.35","0.1785","98187.33","DKK","0.00","6016"
"18378","Salg","AUTH-0401","AFT-2022-015","978-87-6520-347-8","Lydbog","Indbundet","A","95212","2018-04-04","1490","234.71","0.1932","67565.50","EUR","0.00","6016"
"18379","Forskud","AUTH-0401","AFT-2022-015","978-87-0180-376-2","E-bog","Pocket","B","90660","2018-02-28","207","529.34","0.1389","15219.74","SEK","0.00","6016"
"18380","Salg","AUTH-0401","AFT-2022-015","978-87-6791-380-1","Eksport","Special","C","69406","2018-02-26","1691","566.66","0.2067","198064.50","DKK","0.00","6016"
"18381","Salg","AUTH-0401","AFT-2022-015","978-87-0378-275-1","Boghandel","Klassiker","B","64530","2018-03-25","1398","263.42","0.0536","19738.80","DKK","0.00","6016"
"18382","Forskud","AUTH-0401","AFT-2022-015","978-87-7628-254-7","Subskription","Klassiker","B","78958","2018-04-11","1220","292.95","0.0727","25982.91","DKK","0.00","6016"
"18383","Salg","AUTH-0401","AFT-2022-015","978-87-6451-304-2","E-bog","Lydbog","A","78671","2018-02-21","991","405.48","0.2263","90934.28","DKK","0.00","6016"
"18384","Korrektion","AUTH-0401","AFT-2022-015","978-87-3930-375-3","Eksport","Pocket","C","71494","2018-03-01","448","234.88","0.2409","25349.00","DKK","0.00","6016"
"18385","Royalty","AUTH-0401","AFT-2022-015","978-87-6926-940-1","Bibliotek","Digital","A","86036","2018-04-09","1122","493.51","0.2187","121098.17","DKK","0.00","6016"
"18386","Salg","AUTH-0401","AFT-2022-015","978-87-3383-111-5","Bibliotek","Lydbog","A","57969","2018-03-24","89","362.24","0.1154","3720.42","DKK","0.00","6016"
"18387","Salg","AUTH-0401","AFT-2022-015","978-87-1807-642-5","Subskription","Standard","A","71158","2018-02-22","674","50.92","0.156","5353.93","DKK","0.00","6016"
"18388","Salg","AUTH-0401","AFT-2022-015","978-87-7760-285-6","Boghandel","Digital","A","73328","2018-04-09","50","241.01","0.124","1494.26","DKK","0.00","6016"
"18389","ForskudMod","AUTH-0401","AFT-2022-015","978-87-8622-329-5","Boghandel","Klassiker","A","76547","2018-03-24","1457","560.26","0.1353","110445.23","DKK","0.00","6016"
"18390","GarGlobal","AUTH-0401","AFT-2022-015","978-87-1540-572-3","Eksport","Indbundet","D","63619","2018-03-15","1800","145.11","0.1105","28862.38","DKK","0.00","6016"
