"TRANSNR";"TRANSTYPE";"KONTO";"AFTALE";"ARTNR";"KANAL";"PRISGRUPPE";"VILKAR";"BILAGSNR";"BILAGSDATO";"ANTAL";"STKPRIS";"STKAFREGNSATS";"BELOEB";"VALUTA";"SKAT";"AFREGNBATCH"
"11340";"Salg";"AUTH-0734";"AFT-2020-099";"978-87-4424-648-9";"E-bog";"Standard";"D";"93908";"2022-07-11";"1591";"323.98";"0.1739";"89637.13";"DKK";"0.00";"3237"
"11341";"Royalty";"AUTH-0734";"AFT-2020-099";"978-87-5759-582-6";"Lydbog";"Indbundet";"D";"53364";"2022-06-18";"1937";"324.90";"0.0722";"45437.72";"DKK";"0.00";"3237"
"11342";"Salg";"AUTH-0734";"AFT-2020-099";"978-87-1705-984-4";"Boghandel";"Special";"D";"71543";"2022-07-08";"1310";"376.18";"0.222";"109400.67";"DKK";"0.00";"3237"
"11343";"Salg";"AUTH-0734";"AFT-2020-099";"978-87-8568-119-9";"Subskription";"Pocket";"D";"89960";"2022-06-14";"1488";"153.80";"0.0559";"12792.96";"DKK";"0.00";"3237"
"11344";"Forskud";"AUTH-0734";"AFT-2020-099";"978-87-5900-992-5";"Subskription";"Klassiker";"A";"74274";"2022-05-15";"1707";"89.91";"0.1436";"22039.21";"DKK";"0.00";"3237"
"11345";"Speciel";"AUTH-0734";"AFT-2020-099";"978-87-9335-158-5";"Lydbog";"Digital";"D";"93839";"2022-06-10";"1103";"457.23";"0.2009";"101318.83";"DKK";"0.00";"3237"
"11346";"Retur";"AUTH-0734";"AFT-2020-099";"978-87-1939-103-9";"Online";"Pocket";"D";"81084";"2022-06-17";"-1964";"518.00";"0.0751";"-76403.14";"DKK";"0.00";"3237"
"11347";"Speciel";"AUTH-0734";"AFT-2020-099";"978-87-3609-085-4";"E-bog";"Digital";"C";"52799";"2022-06-13";"1693";"334.40";"0.0702";"39742.97";"DKK";"0.00";"3237"
"11348";"Salg";"AUTH-0734";"AFT-2020-099";"978-87-7361-587-4";"Bibliotek";"Standard";"B";"78827";"2022-07-09";"422";"245.69";"0.1304";"13520.03";"DKK";"0.00";"3237"
"11349";"Salg";"AUTH-0734";"AFT-2020-099";"978-87-9693-353-5";"Online";"Lydbog";"C";"71880";"2022-06-21";"1636";"382.01";"0.1909";"119306.46";"DKK";"0.00";"3237"
"11350";"Bonus";"AUTH-0734";"AFT-2020-099";"978-87-7315-663-6";"Bibliotek";"Digital";"D";"57581";"2022-06-03";"1198";"307.27";"0.0872";"32099.14";"NOK";"0.00";"3237"
"11351";"Salg";"AUTH-0734";"AFT-2020-099";"978-87-9028-377-3";"Eksport";"Indbundet";"B";"88961";"2022-06-15";"373";"289.97";"0.2211";"23913.91";"DKK";"0.00";"3237"
"11352";"Korrektion";"AUTH-0734";"AFT-2020-099";"978-87-5342-816-6";"Subskription";"Lydbog";"D";"94758";"2022-06-26";"1654";"174.99";"0.0637";"18436.91";"DKK";"0.00";"3237"
"11353";"Frieksp";"AUTH-0734";"AFT-2020-099";"978-87-7535-846-5";"Boghandel";"Standard";"A";"52455";"2022-05-19";"1697";"181.09";"0.2451";"75321.61";"DKK";"0.00";"3237"
"11354";"Afgift";"AUTH-0734";"AFT-2020-099";"978-87-1444-718-6";"Lydbog";"Standard";"B";"88795";"2022-07-06";"865";"106.39";"0.2214";"20374.86";"DKK";"0.00";"3237"
"11355";"Retur";"AUTH-0734";"AFT-2020-099";"978-87-9067-649-0";"Subskription";"Pocket";"A";"61383";"2022-06-17";"-1284";"579.19";"0.234";"-174021.11";"DKK";"0.00";"3237"
"11356";"Salg";"AUTH-0734";"AFT-2020-099";"978-87-8745-513-8";"Lydbog";"Klassiker";"C";"79732";"2022-06-28";"1703";"503.08";"0.1157";"99125.42";"DKK";"0.00";"3237"
"11357";"Salg";"AUTH-0734";"AFT-2020-099";"978-87-3068-811-8";"Subskription";"Special";"A";"97241";"2022-05-29";"1552";"248.32";"0.2164";"83398.97";"DKK";"0.00";"3237"
"11358";"Salg";"AUTH-0734";"AFT-2020-099";"978-87-8187-387-7";"Online";"Indbundet";"B";"64578";"2022-06-13";"908";"400.91";"0.1218";"44338.40";"DKK";"0.00";"3237"
"11359";"Salg";"AUTH-0734";"AFT-2020-099";"978-87-7041-309-1";"Online";"Special";"C";"72879";"2022-07-11";"26";"384.29";"0.0725";"724.39";"DKK";"0.00";"3237"
"11360";"Salg";"AUTH-0734";"AFT-2020-099";"978-87-2826-254-2";"Lydbog";"Digital";"D";"54444";"2022-05-28";"1613";"124.90";"0.0579";"11664.75";"DKK";"0.00";"3237"
"11361";"Salg";"AUTH-0734";"AFT-2020-099";"978-87-9057-720-9";"Subskription";"Digital";"B";"96352";"2022-05-15";"550";"461.27";"0.0633";"16059.12";"DKK";"0.00";"3237"
"11362";"Forskud";"AUTH-0734";"AFT-2020-099";"978-87-2453-810-8";"E-bog";"Klassiker";"C";"91568";"2022-05-18";"1273";"304.64";"0.1732";"67168.12";"SEK";"0.00";"3237"
"11363";"Salg";"AUTH-0734";"AFT-2020-099";"978-87-7098-726-4";"Online";"Digital";"C";"62014";"2022-05-25";"524";"522.49";"0.1649";"45147.11";"DKK";"0.00";"3237"
"11364";"Salg";"AUTH-0734";"AFT-2020-099";"978-87-2240-432-0";"Bibliotek";"Standard";"D";"53382";"2022-06-20";"859";"86.67";"0.1567";"11666.24";"DKK";"0.00";"3237"
"11365";"Salg";"AUTH-0734";"AFT-2020-099";"978-87-1630-702-6";"Online";"Indbundet";"D";"53675";"2022-05-22";"1119";"257.20";"0.1889";"54366.70";"DKK";"0.00";"3237"
"11366";"Salg";"AUTH-0734";"AFT-2020-099";"978-87-3662-195-9";"Subskription";"Standard";"A";"50653";"2022-05-13";"403";"262.85";"0.1587";"16810.86";"DKK";"0.00";"3237"
"11367";"Retur";"AUTH-0734";"AFT-2020-099";"978-87-7325-900-9";"Eksport";"Special";"C";"62419";"2022-05-17";"-1636";"292.51";"0.1731";"-82836.37";"DKK";"0.00";"3237"
"11368";"Salg";"AUTH-0734";"AFT-2020-099";"978-87-1386-908-4";"E-bog";"Special";"B";"59341";"2022-06-12";"968";"533.33";"0.181";"93443.68";"DKK";"0.00";"3237"
"11369";"Salg";"AUTH-0734";"AFT-2020-099";"978-87-4617-192-5";"Boghandel";"Standard";"C";"50412";"2022-06-11";"1121";"489.60";"0.2429";"133313.62";"DKK";"0.00";"3237"
"11370";"Speciel";"AUTH-0734";"AFT-2020-099";"978-87-3442-252-7";"Bibliotek";"Pocket";"D";"64068";"2022-06-02";"191";"398.66";"0.0531";"4043.25";"SEK";"0.00";"3237"
"11371";"Salg";"AUTH-0734";"AFT-2020-099";"978-87-0944-772-2";"Subskription";"Standard";"B";"77568";"2022-05-23";"770";"381.07";"0.0916";"26877.63";"DKK";"0.00";"3237"
"11372";"Retur";"AUTH-0734";"AFT-2020-099";"978-87-7617-948-9";"Bibliotek";"Standard";"B";"72606";"2022-05-29";"-50";"582.22";"0.1854";"-5397.18";"DKK";"0.00";"3237"
"11373";"Retur";"AUTH-0734";"AFT-2020-099";"978-87-0211-915-2";"Lydbog";"Klassiker";"C";"55958";"2022-07-04";"-1957";"559.25";"0.1663";"-182007.41";"DKK";"0.00";"3237"
"11374";"Korrektion";"AUTH-0734";"AFT-2020-099";"978-87-0088-447-7";"Lydbog";"Special";"C";"51548";"2022-06-05";"1382";"269.69";"0.0928";"34587.63";"DKK";"0.00";"3237"
"11375";"Salg";"AUTH-0734";"AFT-2020-099";"978-87-1907-499-4";"Eksport";"Digital";"A";"76454";"2022-05-15";"268";"78.75";"0.1102";"2325.77";"DKK";"0.00";"3237"
"11376";"GarGlobal";"AUTH-0734";"AFT-2020-099";"978-87-2353-484-2";"Subskription";"Digital";"B";"52560";"2022-07-11";"1045";"278.65";"0.1398";"40708.26";"DKK";"0.00";"3237"
"11377";"Salg";"AUTH-0734";"AFT-2020-099";"978-87-6220-212-2";"Boghandel";"Pocket";"D";"98663";"2022-07-11";"409";"453.03";"0.1483";"27478.40";"DKK";"0.00";"3237"
"11378";"Salg";"AUTH-0734";"AFT-2020-099";"978-87-6739-190-7";"Bibliotek";"Indbundet";"A";"83826";"2022-06-26";"772";"171.45";"0.1083";"14334.52";"DKK";"0.00";"3237"
"11379";"Diverse";"AUTH-0734";"AFT-2020-099";"978-87-0091-692-0";"Boghandel";"Standard";"C";"79933";"2022-05-24";"1681";"163.73";"0.1871";"51495.56";"DKK";"0.00";"3237"
"11380";"GarGlobalMod";"AUTH-0734";"AFT-2020-099";"978-87-9060-854-5";"Subskription";"Klassiker";"D";"85888";"2022-07-11";"1113";"592.74";"0.2402";"158464.65";"DKK";"0.00";"3237"
"11381";"Korrektion";"AUTH-0734";"AFT-2020-099";"978-87-0099-843-8";"Eksport";"Indbundet";"D";"66011";"2022-06-27";"511";"277.24";"0.2281";"32314.84";"DKK";"0.00";"3237"
"11382";"Speciel";"AUTH-0734";"AFT-2020-099";"978-87-9854-582-8";"Boghandel";"Klassiker";"A";"62393";"2022-05-21";"1555";"356.20";"0.211";"116871.00";"DKK";"0.00";"3237"
"11383";"Salg";"AUTH-0734";"AFT-2020-099";"978-87-5346-607-6";"Subskription";"Digital";"A";"66409";"2022-06-19";"659";"243.38";"0.165";"26463.92";"SEK";"0.00";"3237"
"11384";"Speciel";"AUTH-0734";"AFT-2020-099";"978-87-0108-240-2";"Subskription";"Special";"D";"95135";"2022-07-09";"1660";"109.21";"0.204";"36982.87";"DKK";"0.00";"3237"
"11385";"Salg";"AUTH-0734";"AFT-2020-099";"978-87-9402-620-8";"Online";"Lydbog";"B";"67175";"2022-06-12";"1088";"227.21";"0.2274";"56214.30";"DKK";"0.00";"3237"
"11386";"Retur";"AUTH-0734";"AFT-2020-099";"978-87-5364-235-7";"Online";"Special";"B";"90616";"2022-05-22";"-931";"39.85";"0.1089";"-4040.23";"DKK";"0.00";"3237"
"11387";"Afgift";"AUTH-0734";"AFT-2020-099";"978-87-1007-923-4";"Online";"Klassiker";"C";"67334";"2022-06-06";"37";"193.19";"0.2233";"1596.16";"DKK";"0.00";"3237"
"11388";"Speciel";"AUTH-0734";"AFT-2020-099";"978-87-3827-101-5";"Boghandel";"Standard";"A";"87211";"2022-05-24";"1482";"530.13";"0.2315";"181878.59";"DKK";"0.00";"3237"
"11389";"Forskud";"AUTH-0734";"AFT-2020-099";"978-87-5900-992-5";"Subskription";"Klassiker";"A";"74274";"2022-05-15";"1707";"89.91";"0.1436";"22039.21";"DKK";"0.00";"3237"
"11390";"Forskud";"AUTH-0734";"AFT-2020-099";"978-87-2453-810-8";"E-bog";"Klassiker";"C";"91568";"2022-05-18";"1273";"304.64";"0.1732";"67168.12";"SEK";"0.00";"3237"
"11391";"Speciel";"AUTH-0734";"AFT-2020-099";"978-87-9335-158-5";"Lydbog";"Digital";"D";"93839";"2022-06-10";"1103";"457.23";"0.2009";"101318.83";"DKK";"0.00";"3237"
"11392";"Salg";"AUTH-0734";"AFT-2020-099";"978-87-7361-587-4";"Bibliotek";"Standard";"B";"78827";"2022-07-09";"422";"245.69";"0.1304";"13520.03";"DKK";"0.00";"3237"
"11393";"Royalty";"AUTH-0734";"AFT-2020-099";"978-87-5759-582-6";"Lydbog";"Indbundet";"D";"53364";"2022-06-18";"1937";"324.90";"0.0722";"45437.72";"DKK";"0.00";"3237"
