"TRANSNR","TRANSTYPE","KONTO","AFTALE","ARTNR","KANAL","PRISGRUPPE","VILKAR","BILAGSNR","BILAGSDATO","ANTAL","STKPRIS","STKAFREGNSATS","BELOEB","VALUTA","SKAT","AFREGNBATCH"
"15560","Salg","AUTH-1304","AFT-2022-007","978-87-1199-064-3","Online","Indbundet","A","78787","2018-11-05","431","533.27","0.1354","31120.25","DKK","0.00","3205"
"15561","Royalty","AUTH-1304","AFT-2022-007","978-87-7749-205-1","E-bog","Klassiker","C","81623","2018-09-27","80","151.75","0.162","1966.68","DKK","0.00","3205"
"15562","Salg","AUTH-1304","AFT-2022-007","978-87-1677-108-7","Eksport","Klassiker","B","68148","2018-11-10","813","254.44","0.1652","34173.23","DKK","0.00","3205"
"15563","Royalty","AUTH-1304","AFT-2022-007","978-87-3927-817-4","Lydbog","Pocket","A","80933","2018-09-27","1074","360.81","0.1211","46927.45","DKK","0.00","3205"
"15564","Salg","AUTH-1304","AFT-2022-007","978-87-4512-979-8","E-bog","Pocket","A","56091","2018-11-02","1383","368.05","0.2343","119471.83","DKK","0.00","3205"
"15565","Retur","AUTH-1304","AFT-2022-007","978-87-0181-107-1","Boghandel","Pocket","D","82325","2018-09-26","-413","511.83","0.1196","-25281.74","DKK","0.00","3205"
"15566","ForskudMod","AUTH-1304","AFT-2022-007","978-87-1053-883-9","Bibliotek","Indbundet","A","94058","2018-10-14","632","461.57","0.1855","54112.62","DKK","0.00","3205"
"15567","Royalty","AUTH-1304","AFT-2022-007","978-87-6797-808-4","Lydbog","Lydbog","C","72268","2018-09-24","890","342.03","0.1431","43560.60","DKK","0.00","3205"
"15568","Frieksp","AUTH-1304","AFT-2022-007","978-87-6178-917-4","Eksport","Pocket","B","60289","2018-10-27","977","78.08","0.2215","16896.94","DKK","0.00","3205"
"15569","Salg","AUTH-1304","AFT-2022-007","978-87-1894-747-3","Online","Special","D","84755","2018-10-19","160","290.42","0.1643","7634.56","DKK","0.00","3205"
"15570","ForskudMod","AUTH-1304","AFT-2022-007","978-87-6382-469-9","Bibliotek","Klassiker","D","54361","2018-10-20","1120","283.19","0.1759","55969.61","DKK","0.00","3205"
"15571","Salg","AUTH-1304","AFT-2022-007","978-87-5281-590-5","Online","Special","D","88903","2018-10-26","571","506.38","0.2487","71858.11","DKK","0.00","3205"
"15572","Salg","AUTH-1304","AFT-2022-007","978-87-3945-128-7","E-bog","Indbundet","A","62694","2018-09-20","694","426.49","0.1627","48156.61","DKK","0.00","3205"
"15573","Salg","AUTH-1304","AFT-2022-007","978-87-9115-987-9","Lydbog","Klassiker","A","63803","2018-11-02","294","489.92","0.2424","34914.44","DKK","0.00","3205"
"15574","Salg","AUTH-1304","AFT-2022-007","978-87-4167-123-9","Online","Standard","D","64041","2018-11-15","1216","328.29","0.1723","68782.27","DKK","0.00","3205"
"15575","Retur","AUTH-1304","AFT-2022-007","978-87-9724-372-5","Lydbog","Klassiker","D","72050","2018-11-06","-635","424.59","0.2423","-65217.84","DKK","0.00","3205"
"15576","Salg","AUTH-1304","AFT-2022-007","978-87-6371-089-3","Online","Lydbog","C","72415","2018-11-07","1887","561.15","0.0882","93394.10","DKK","0.00","3205"
"15577","Korrektion","AUTH-1304","AFT-2022-007","978-87-0852-471-4","Boghandel","Digital","B","52932","2018-09-29","1180","242.86","0.0958","27453.87","DKK","0.00","3205"
"15578","Royalty","AUTH-1304","AFT-2022-007","978-87-1634-578-3","Subskription","Pocket","A","69005","2018-11-06","544","322.09","0.1636","29019.09","DKK","0.00","3205"
"15579","Salg","AUTH-1304","AFT-2022-007","978-87-2346-929-8","Bibliotek","Pocket","A","54675","2018-09-30","1005","527.73","0.2168","114759.70","DKK","0.00","3205"
"15580","Salg","AUTH-1304","AFT-2022-007","978-87-1038-333-0","Bibliotek","Special","A","89773","2018-10-14","172","75.98","0.1678","2192.90","DKK","0.00","3205"
"15581","Royalty","AUTH-1304","AFT-2022-007","978-87-7696-624-9","E-bog","Indbundet","C","76365","2018-10-13","308","319.24","0.0905","8898.50","DKK","0.00","3205"
"15582","Salg","AUTH-1304","AFT-2022-007","978-87-6671-237-5","Eksport","Klassiker","B","64690","2018-11-11","1090","263.32","0.1629","46755.36","DKK","0.00","3205"
"15583","Salg","AUTH-1304","AFT-2022-007","978-87-4548-273-2","Lydbog","Pocket","D","93851","2018-11-08","1295","369.54","0.1017","48668.97","DKK","0.00","3205"
"15584","Salg","AUTH-1304","AFT-2022-007","978-87-8710-829-4","Eksport","Special","A","58343","2018-10-25","888","317.37","0.1779","50136.59","DKK","0.00","3205"
"15585","Salg","AUTH-1304","AFT-2022-007","978-87-7215-563-0","E-bog","Indbundet","A","59683","2018-10-07","289","514.90","0.2355","35043.84","DKK","0.00","3205"
"15586","Retur","AUTH-1304","AFT-2022-007","978-87-8212-402-2","Subskription","Klassiker","C","93556","2018-09-17","-1710","151.01","0.0729","-18824.76","DKK","0.00","3205"
