"TRANSNR";"TRANSTYPE";"KONTO";"AFTALE";"ARTNR";"KANAL";"PRISGRUPPE";"VILKAR";"BILAGSNR";"BILAGSDATO";"ANTAL";"STKPRIS";"STKAFREGNSATS";"BELOEB";"VALUTA";"SKAT";"AFREGNBATCH"
"13889";"Salg";"AUTH-0627";"AFT-2024-044";"978-87-9792-341-2";"Lydbog";"Digital";"A";"69714";"13.07.2019";"58";"410.93";"0.223";"5314.97";"SEK";"0.00";"9304"
"13890";"Salg";"AUTH-0627";"AFT-2024-044";"978-87-6310-626-9";"Bibliotek";"Standard";"C";"85924";"24.05.2019";"1720";"348.82";"0.1063";"63776.85";"DKK";"0.00";"9304"
"13891";"Royalty";"AUTH-0627";"AFT-2024-044";"978-87-6872-962-3";"Subskription";"Special";"D";"82270";"01.01.2199";"1483";"524.33";"0.1103";"85767.23";"EUR";"0.00";"9304"
"13892";"Retur";"AUTH-0627";"AFT-2024-044";"978-87-4100-825-7";"Subskription";"Lydbog";"A";"75356";"23.05.2019";"-1886";"367.00";"0.0858";"-59387.50";"DKK";"0.00";"9304"
"13893";"Retur";"AUTH-0627";"AFT-2024-044";"978-87-2515-288-4";"Boghandel";"Standard";"D";"77298";"17.07.2019";"-54";"590.60";"0.112";"-3571.95";"DKK";"0.00";"9304"
"13894";"Salg";"AUTH-0627";"AFT-2024-044";"978-87-0508-495-2";"Subskription";"Indbundet";"C";"50941";"17.07.2019";"1348";"598.94";"0.1449";"116988.08";"DKK";"0.00";"9304"
"13895";"Salg";"AUTH-0627";"AFT-2024-044";"978-87-7308-788-6";"Online";"Digital";"A";"64703";"13.06.2019";"1684";"281.03";"0.2357";"111546.09";"DKK";"0.00";"9304"
"13896";"Salg";"AUTH-0627";"AFT-2024-044";"978-87-3335-802-5";"Online";"Digital";"C";"99034";"19.06.2019";"1400";"554.82";"0.0619";"48080.70";"DKK";"0.00";"9304"
"13897";"Forskud";"AUTH-0627";"AFT-2024-044";"978-87-3582-350-7";"Boghandel";"Standard";"B";"98603";"25.05.2019";"895";"128.92";"0.112";"12922.94";"DKK";"0.00";"9304"
"13898";"Retur";"AUTH-0627";"AFT-2024-044";"978-87-6041-614-9";"Eksport";"Standard";"B";"96745";"10.07.2019";"-461";"224.39";"0.1059";"-10954.70";"DKK";"0.00";"9304"
