"TRANSNR","TRANSTYPE","KONTO","AFTALE","ARTNR","KANAL","PRISGRUPPE","VILKAR","BILAGSNR","BILAGSDATO","ANTAL","STKPRIS","STKAFREGNSATS","BELOEB","VALUTA","SKAT","AFREGNBATCH"
"14781","Salg","AUTH-0812","AFT-2023-090","978-87-7170-200-2","Boghandel","Klassiker","B","93280","2020-02-24","1353","443.68","0.2377","142691.08","DKK","0.00","2667"
"14782","Retur","AUTH-0812","AFT-2023-090","978-87-7890-052-4","Boghandel","Lydbog","A","58590","2020-01-09","-1208","374.64","0.1027","-46478.44","DKK","0.00","2667"
"14783","Retur","AUTH-0812","AFT-2023-090","978-87-3349-232-3","Bibliotek","Lydbog","C","69813","2020-02-07","-1321","475.47","0.2345","-147288.48","DKK","0.00","2667"
"14784","Salg","AUTH-0812","AFT-2023-090","978-87-3303-613-8","Subskription","Standard","B","98103","2020-01-22","277","109.42","0.1483","4494.88","DKK","0.00","2667"
"14785","Salg","AUTH-0812","AFT-2023-090","978-87-4473-098-8","Bibliotek","Digital","D","79156","2020-02-11","209","98.81","0.0561","1158.54","DKK","0.00","2667"
"14786","Afgift","AUTH-0812","AFT-2023-090","978-87-6784-533-1","Boghandel","Digital","D","72979","2020-01-10","595","392.97","0.0882","20622.67","DKK","0.00","2667"
"14787","Royalty","AUTH-0812","AFT-2023-090","978-87-1180-336-3","Lydbog","Indbundet","B","96236","2020-01-25","1777","77.47","0.1283","17662.32","DKK","0.00","2667"
"14788","Salg","AUTH-0812","AFT-2023-090","978-87-5116-378-6","Eksport","Standard","C","94593","1950-01-01","1546","541.17","0.1075","89939.75","SEK","0.00","2667"
"14789","Royalty","AUTH-0812","AFT-2023-090","978-87-2530-342-2","E-bog","Pocket","D","78868","2020-01-05","1653","276.34","0.2233","102001.21","DKK","0.00","2667"
"14790","Salg","AUTH-0812","AFT-2023-090","978-87-9272-870-8","Online","Pocket","D","51065","2019-12-26","267","134.90","0.1105","3980.02","DKK","0.00","2667"
"14791","Retur","AUTH-0812","AFT-2023-090","978-87-9394-099-4","Boghandel","Digital","A","87241","2199-01-01","-846","230.24","0.1436","-27970.84","SEK","0.00","2667"
"14792","Retur","AUTH-0812","AFT-2023-090","978-87-5981-713-1","E-bog","Special","C","88875","2020-02-21","-1795","535.82","0.0944","-90793.63","DKK","0.00","2667"
"14793","Salg","AUTH-0812","AFT-2023-090","978-87-2138-433-3","Subskription","Klassiker","C","65094","2020-02-17","262","83.07","0.0986","2145.96","DKK","0.00","2667"
