"TRANSNR";"TRANSTYPE";"KONTO";"AFTALE";"ARTNR";"KANAL";"PRISGRUPPE";"VILKAR";"BILAGSNR";"BILAGSDATO";"ANTAL";"STKPRIS";"STKAFREGNSATS";"BELOEB";"VALUTA";"SKAT";"AFREGNBATCH"
"15946";"Salg";"AUTH-1910";"AFT-2023-090";"978-87-2289-753-5";"Eksport";"Lydbog";"D";"76488";"28-08-2025";"1472";"170.87";"0.2113";"53146.31";"DKK";"0.00";"6853"
"15947";"Afgift";"AUTH-1910";"AFT-2023-090";"978-87-5698-299-3";"Lydbog";"Special";"A";"87449";"08-09-2025";"1513";"279.55";"0.1347";"56972.60";"SEK";"0.00";"6853"
"15948";"Royalty";"AUTH-1910";"AFT-2023-090";"978-87-9896-327-1";"Subskription";"Standard";"C";"71512";"11-07-2025";"948";"221.81";"0.1042";"21910.75";"DKK";"0.00";"6853"
"15949";"Retur";"AUTH-1910";"AFT-2023-090";"978-87-8403-628-6";"Bibliotek";"Standard";"B";"67039";"29-07-2025";"-1225";"382.28";"0.1147";"-53713.21";"DKK";"0.00";"6853"
"15950";"Forskud";"AUTH-1910";"AFT-2023-090";"978-87-9709-268-2";"Lydbog";"Digital";"B";"93382";"19-07-2025";"1162";"558.19";"0.2387";"154824.83";"DKK";"0.00";"6853"
"15951";"Salg";"AUTH-1910";"AFT-2023-090";"978-87-8533-929-4";"Boghandel";"Lydbog";"C";"75337";"26-08-2025";"758";"279.33";"0.1582";"33496.02";"DKK";"0.00";"6853"
"15952";"Retur";"AUTH-1910";"AFT-2023-090";"978-87-2563-080-1";"Subskription";"Standard";"C";"85840";"23-08-2025";"-102";"546.53";"0.0574";"-3199.82";"DKK";"0.00";"6853"
"15953";"FooBar";"AUTH-1910";"AFT-2023-090";"978-87-2600-910-1";"Subskription";"Special";"C";"88950";"07-08-2025";"458";"71.89";"0.1553";"5113.35";"DKK";"0.00";"6853"
"15954";"Salg";"AUTH-1910";"AFT-2023-090";"978-87-4622-696-0";"Subskription";"Lydbog";"C";"85716";"06-09-2025";"583";"49.99";"0.1271";"3704.22";"DKK";"0.00";"6853"
"15955";"Retur";"AUTH-1910";"AFT-2023-090";"978-87-3455-547-8";"Online";"Lydbog";"A";"82781";"10-08-2025";"-25";"266.62";"0.057";"-379.93";"DKK";"0.00";"6853"
