"TRANSNR","TRANSTYPE","KONTO","AFTALE","ARTNR","KANAL","PRISGRUPPE","VILKAR","BILAGSNR","BILAGSDATO","ANTAL","STKPRIS","STKAFREGNSATS","BELOEB","VALUTA","SKAT","AFREGNBATCH"
"11016","ForskudMod","AUTH-1102","AFT-2020-011","978-87-9132-033-0","E-bog","Pocket","B","64295","2022-07-10","1526","56.45","0.0644","69944.31","DKK","0.00","7742"
"11017","Salg","AUTH-1102","AFT-2020-011","978-87-1061-537-0","Boghandel","Klassiker","A","74166","2022-06-22","296","113.59","0.1796","6038.63","DKK","0.00","7742"
"11018","Retur","AUTH-1102","AFT-2020-011","978-87-3236-533-8","Eksport","Special","C","66522","2022-06-18","-1004","308.17","0.1048","-32425.40","DKK","0.00","7742"
"11019","Salg","AUTH-1102","AFT-2020-011","978-87-7843-614-6","Eksport","Special","B","50902","2022-08-03","289","191.25","0.0854","4720.16","DKK","0.00","7742"
"11020","Royalty","AUTH-1102","AFT-2020-011","978-87-5437-347-2","Subskription","Digital","A","78713","2022-06-29","1974","252.22","0.0821","40876.14","DKK","0.00","7742"
"11021","Salg","AUTH-1102","AFT-2020-011","978-87-6388-214-9","Boghandel","Digital","B","67813","2022-06-21","1478","240.97","0.101","35971.52","DKK","0.00","7742"
"11022","GarGlobal","AUTH-1102","AFT-2020-011","978-87-3443-899-3","Subskription","Indbundet","D","82573","2022-07-25","1637","556.00","0.2344","213344.32","DKK","0.00","7742"
"11023","ForskudMod","AUTH-1102","AFT-2020-011","978-87-0732-146-8","Boghandel","Indbundet","D","93898","2022-06-27","515","426.02","0.1044","144327.06","DKK","0.00","7742"
"11024","Diverse","AUTH-1102","AFT-2020-011","978-87-9335-055-7","Lydbog","Indbundet","A","64914","2022-07-16","966","461.82","0.1565","69817.49","DKK","0.00","7742"
"11025","Korrektion","AUTH-1102","AFT-2020-011","978-87-2360-376-0","Lydbog","Standard","A","85950","2022-07-28","1096","596.70","0.0645","42181.92","DKK","0.00","7742"
"11026","Royalty","AUTH-1102","AFT-2020-011","978-87-3510-409-5","E-bog","Pocket","B","79480","2022-07-22","838","98.39","0.1061","8748.03","DKK","0.00","7742"
"11027","Salg","AUTH-1102","AFT-2020-011","978-87-1498-307-9","Boghandel","Indbundet","B","95604","2022-08-02","1412","187.62","0.0834","22094.28","DKK","0.00","7742"
"11028","Salg","AUTH-1102","AFT-2020-011","978-87-5118-939-7","Subskription","Special","B","73389","2022-08-13","569","30.00","0.1893","3231.35","DKK","0.00","7742"
"11029","Royalty","AUTH-1102","AFT-2020-011","978-87-9043-223-2","Lydbog","Lydbog","B","63701","2022-08-06","1511","55.67","0.0859","7225.68","DKK","0.00","7742"
"11030","Salg","AUTH-1102","AFT-2020-011","978-87-3920-135-6","Online","Indbundet","D","95007","2022-08-07","1285","460.49","0.2022","119647.74","EUR","0.00","7742"
"11031","Korrektion","AUTH-1102","AFT-2020-011","978-87-2760-250-9","Online","Lydbog","A","57112","2022-07-11","1092","129.59","0.2186","30934.58","DKK","0.00","7742"
"11032","ForskudMod","AUTH-1102","AFT-2020-011","978-87-6324-888-4","Online","Standard","B","71630","2022-08-12","1946","542.62","0.1683","137843.07","DKK","0.00","7742"
"11033","Royalty","AUTH-1102","AFT-2020-011","978-87-6297-454-8","Online","Digital","B","51312","2022-08-03","1242","151.81","0.1967","37087.40","DKK","0.00","7742"
"11034","Salg","AUTH-1102","AFT-2020-011","978-87-7191-203-6","Eksport","Indbundet","D","86704","2022-06-22","1510","428.44","0.2399","155201.96","DKK","0.00","7742"
"11035","Forskud","AUTH-1102","AFT-2020-011","978-87-8323-089-0","Eksport","Lydbog","B","55476","2022-07-20","1114","533.23","0.0983","58391.99","SEK","0.00","7742"
"11036","Retur","AUTH-1102","AFT-2020-011","978-87-5822-067-3","Lydbog","Klassiker","A","64451","2022-08-04","-1742","506.76","0.0779","-68768.24","DKK","0.00","7742"
"11037","Salg","AUTH-1102","AFT-2020-011","978-87-5724-500-4","Lydbog","Pocket","D","95277","2022-07-27","1568","36.51","0.0555","3177.25","DKK","0.00","7742"
"11038","Salg","AUTH-1102","AFT-2020-011","978-87-9113-717-4","Subskription","Digital","A","91343","2022-06-18","1605","538.85","0.1795","155241.34","SEK","0.00","7742"
"11039","Salg","AUTH-1102","AFT-2020-011","978-87-1844-421-7","E-bog","Pocket","C","85390","2022-07-21","1118","492.45","0.1701","93650.10","DKK","0.00","7742"
"11040","Forskud","AUTH-1102","AFT-2020-011","978-87-4890-567-2","Bibliotek","Special","A","89269","2022-06-17","83","318.54","0.1435","3793.97","DKK","0.00","7742"
"11041","ForskudMod","AUTH-1102","AFT-2020-011","978-87-5158-482-6","E-bog","Indbundet","B","67656","2022-07-11","830","244.89","0.0746","72390.96","DKK","0.00","7742"
"11042","ForskudMod","AUTH-1102","AFT-2020-011","978-87-2960-807-3","Bibliotek","Lydbog","A","86586","2022-07-23","-109","261.40","0.0981","178403.84","DKK","0.00","7742"
"11043","Royalty","AUTH-1102","AFT-2020-011","978-87-8221-040-4","Lydbog","Indbundet","A","84640","2022-08-07","1901","99.61","0.1283","24294.71","DKK","0.00","7742"
"11044","Salg","AUTH-1102","AFT-2020-011","978-87-4287-738-8","Lydbog","Klassiker","A","92450","2022-07-18","398","245.10","0.2028","19783.10","DKK","0.00","7742"
"11045","Salg","AUTH-1102","AFT-2020-011","978-87-1269-428-1","Eksport","Indbundet","B","76715","2022-07-04","1171","397.09","0.1834","85279.60","DKK","0.00","7742"
"11046","Salg","AUTH-1102","AFT-2020-011","978-87-2586-314-8","Online","Standard","B","52672","2022-08-09","1968","472.84","0.0664","61788.46","DKK","0.00","7742"
"11047","ForskudMod","AUTH-1102","AFT-2020-011","978-87-5402-635-4","E-bog","Special","B","97791","2022-06-27","697","339.21","0.0874","193882.76","DKK","0.00","7742"
"11048","Salg","AUTH-1102","AFT-2020-011","978-87-6448-988-0","E-bog","Standard","D","57141","2022-07-31","1877","552.37","0.2044","211921.61","DKK","0.00","7742"
"11049","Retur","AUTH-1102","AFT-2020-011","978-87-4527-905-9","Online","Klassiker","B","69095","2022-08-08","-77","194.80","0.1778","-2666.93","DKK","0.00","7742"
"11050","Salg","AUTH-1102","AFT-2020-011","978-87-5384-951-0","Online","Pocket","B","56696","2022-08-05","809","444.48","0.2113","75980.17","DKK","0.00","7742"
"11051","Salg","AUTH-1102","AFT-2020-011","978-87-1809-339-2","Boghandel","Lydbog","D","58828","2022-06-28","188","388.95","0.0896","6551.78","DKK","0.00","7742"
"11052","Frieksp","AUTH-1102","AFT-2020-011","978-87-0119-875-2","E-bog","Indbundet","B","76686","2022-08-08","798","84.18","0.2421","16263.22","EUR","0.00","7742"
"11053","Bonus","AUTH-1102","AFT-2020-011","978-87-3009-156-7","E-bog","Digital","A","50859","2022-07-18","230","342.78","0.2175","17147.57","SEK","0.00","7742"
"11054","ForskudMod","AUTH-1102","AFT-2020-011","978-87-4916-093-3","Bibliotek","Special","D","54997","2022-06-23","-803","239.31","0.2084","182882.59","DKK","0.00","7742"
"11055","ForskudMod","AUTH-1102","AFT-2020-011","978-87-4336-875-5","Subskription","Standard","C","97379","2022-07-11","1717","44.96","0.0779","79205.89","DKK","0.00","7742"
"11056","Salg","AUTH-1102","AFT-2020-011","978-87-4556-114-7","Online","Klassiker","B","69264","2022-07-31","1913","50.71","0.1992","19324.04","EUR","0.00","7742"
"11057","ForskudMod","AUTH-1102","AFT-2020-011","978-87-0537-666-8","Lydbog","Special","A","98912","2022-07-29","1979","479.92","0.0593","64397.80","DKK","0.00","7742"
"11058","Salg","AUTH-1102","AFT-2020-011","978-87-3083-566-6","Eksport","Digital","A","51787","2022-08-02","1812","375.61","0.2136","145377.30","DKK","0.00","7742"
