"TRANSNR","TRANSTYPE","KONTO","AFTALE","ARTNR","KANAL","PRISGRUPPE","VILKAR","BILAGSNR","BILAGSDATO","ANTAL","STKPRIS","STKAFREGNSATS","BELOEB","VALUTA","SKAT","AFREGNBATCH"
"16263","Retur","AUTH-1001","AFT-2023-002","978-87-0978-483-4","Subskription","Indbundet","B","69904","2023-09-10","-1075","351.14","0.1649","-62245.71","EUR","0.00","6481"
"16264","Salg","AUTH-1001","AFT-2023-002","978-87-6293-828-1","E-bog","Lydbog","A","82518","2023-09-12","1087","287.92","0.1476","46194.23","SEK","0.00","6481"
"16265","Salg","AUTH-1001","AFT-2023-002","978-87-3574-339-3","Boghandel","Pocket","C","92584","2023-09-18","1433","224.80","0.229","73769.69","DKK","0.00","6481"
"16266","Salg","AUTH-1001","AFT-2023-002","978-87-8630-407-9","Subskription","Klassiker","D","84358","2023-08-29","595","89.47","0.1507","8022.46","DKK","0.00","6481"
"16267","Frieksp","AUTH-1001","AFT-2023-002","978-87-8367-463-2","Eksport","Pocket","A","69197","2023-08-12","497","411.72","0.1862","38101.15","DKK","0.00","6481"
"16268","Salg","AUTH-1001","AFT-2023-002","978-87-7680-670-5","Eksport","Special","A","69106","2023-08-10","539","348.21","0.0892","16741.52","DKK","0.00","6481"
"16269","Salg","AUTH-1001","AFT-2023-002","978-87-0355-641-3","Subskription","Lydbog","A","50513","2023-09-05","791","286.11","0.0871","19711.86","DKK","0.00","6481"
"16270","Korrektion","AUTH-1001","AFT-2023-002","978-87-1898-032-6","Lydbog","Standard","B","66327","2023-09-20","894","153.74","0.0529","7270.76","DKK","0.00","6481"
"16271","ForskudMod","AUTH-1001","AFT-2023-002","978-87-6629-231-0","Lydbog","Standard","D","77544","2023-08-22","1170","89.54","0.0828","8674.28","DKK","0.00","6481"
"16272","Royalty","AUTH-1001","AFT-2023-002","978-87-8373-579-1","Bibliotek","Indbundet","C","94042","2023-08-28","1553","445.40","0.1735","120011.03","DKK","0.00","6481"
"16273","Salg","AUTH-1001","AFT-2023-002","978-87-9391-852-8","Bibliotek","Digital","D","79813","2023-08-13","233","596.40","0.2052","28514.84","DKK","0.00","6481"
"16274","Salg","AUTH-1001","AFT-2023-002","978-87-0385-472-4","Lydbog","Special","B","66504","2023-09-08","1060","356.92","0.1249","47254.07","DKK","0.00","6481"
"16275","Salg","AUTH-1001","AFT-2023-002","978-87-8561-978-5","Boghandel","Standard","C","86619","2023-09-20","55","495.96","0.1087","2965.10","DKK","0.00","6481"
"16276","ForskudMod","AUTH-1001","AFT-2023-002","978-87-0181-814-8","Lydbog","Lydbog","A","87206","2023-08-05","74","290.95","0.2411","5190.96","DKK","0.00","6481"
"16277","Bonus","AUTH-1001","AFT-2023-002","978-87-0070-573-9","Lydbog","Pocket","A","99646","2023-09-02","1015","303.13","0.2147","66058.24","DKK","0.00","6481"
"16278","ForskudMod","AUTH-1001","AFT-2023-002","978-87-0961-984-6","Subskription","Special","A","61484","2023-08-08","501","464.25","0.2061","47936.64","DKK","0.00","6481"
"16279","Salg","AUTH-1001","AFT-2023-002","978-87-4081-372-2","Online","Pocket","C","66144","2023-09-13","1453","306.03","0.1444","64209.13","DKK","0.00","6481"
"16280","Salg","AUTH-1001","AFT-2023-002","978-87-3665-130-7","E-bog","Indbundet","A","63678","2023-09-17","887","299.01","0.2031","53866.56","DKK","0.00","6481"
"16281","Salg","AUTH-1001","AFT-2023-002","978-87-6318-476-2","Lydbog","Indbundet","B","94819","2023-08-21","227","555.17","0.112","14114.64","DKK","0.00","6481"
"16282","Salg","AUTH-1001","AFT-2023-002","978-87-4047-779-5","Eksport","Klassiker","C","53676","2023-09-14","508","532.62","0.2266","61311.38","DKK","0.00","6481"
"16283","ForskudMod","AUTH-1001","AFT-2023-002","978-87-8946-958-4","Subskription","Pocket","C","76454","2023-08-10","1821","408.88","0.1487","110717.63","DKK","0.00","6481"
"16284","GarGlobal","AUTH-1001","AFT-2023-002","978-87-1281-173-2","Eksport","Indbundet","B","94670","2023-08-07","1375","73.26","0.0505","5086.99","DKK","0.00","6481"
"16285","Salg","AUTH-1001","AFT-2023-002","978-87-8312-342-0","Bibliotek","Special","B","75160","2023-08-07","1258","418.45","0.1773","93332.51","DKK","0.00","6481"
"16286","Salg","AUTH-1001","AFT-2023-002","978-87-6503-018-0","Subskription","Special","D","51992","2023-08-09","691","40.36","0.1775","4950.25","DKK","0.00","6481"
