"TRANSNR";"TRANSTYPE";"KONTO";"AFTALE";"ARTNR";"KANAL";"PRISGRUPPE";"VILKAR";"BILAGSNR";"BILAGSDATO";"ANTAL";"STKPRIS";"STKAFREGNSATS";"BELOEB";"VALUTA";"SKAT";"AFREGNBATCH"
"11169";"Salg";"AUTH-0627";"AFT-2019-003";"978-87-3753-659-7";"Online";"Standard";"B";"72960";"13/11/2019";"1495";"249.53";"0.7345";"274003.28";"DKK";"0.00";"6871"
"11170";"Salg";"AUTH-0627";"AFT-2019-003";"978-87-1838-545-9";"Bibliotek";"Indbundet";"B";"52060";"13/11/2019";"1633";"458.12";"0.24";"179546.39";"DKK";"0.00";"6871"
"11171";"Salg";"AUTH-0627";"AFT-2019-003";"978-87-7523-112-6";"Bibliotek";"Lydbog";"C";"85210";"08/12/2019";"1935";"140.09";"0.6642";"180047.45";"DKK";"0.00";"6871"
"11172";"Forskud";"AUTH-0627";"AFT-2019-003";"978-87-6334-272-8";"E-bog";"Klassiker";"A";"74871";"14/12/2019";"63";"139.00";"0.2165";"1895.89";"DKK";"0.00";"6871"
"11173";"Salg";"AUTH-0627";"AFT-2019-003";"978-87-0196-304-6";"Eksport";"Indbundet";"A";"65043";"04/12/2019";"674";"436.68";"0.7936";"233574.19";"DKK";"0.00";"6871"
"11174";"Bonus";"AUTH-0627";"AFT-2019-003";"978-87-3534-001-1";"Lydbog";"Digital";"B";"68782";"08/12/2019";"1055";"69.28";"0.7397";"54064.97";"DKK";"0.00";"6871"
"11175";"ForskudMod";"AUTH-0627";"AFT-2019-003";"978-87-2444-544-4";"Boghandel";"Digital";"D";"85067";"01/01/2020";"876";"60.39";"0.1563";"8268.53";"DKK";"0.00";"6871"
"11176";"Retur";"AUTH-0627";"AFT-2019-003";"978-87-3781-053-6";"E-bog";"Standard";"D";"82921";"09/12/2019";"-1319";"368.97";"0.0794";"-38641.71";"DKK";"0.00";"6871"
"11177";"GarGlobalMod";"AUTH-0627";"AFT-2019-003";"978-87-8829-045-5";"E-bog";"Special";"D";"79452";"10/12/2019";"986";"359.30";"0.5919";"209692.29";"DKK";"0.00";"6871"
"11178";"Salg";"AUTH-0627";"AFT-2019-003";"978-87-9864-242-8";"Bibliotek";"Special";"B";"88823";"24/11/2019";"1853";"145.89";"0.1613";"43604.90";"DKK";"0.00";"6871"
"11179";"Royalty";"AUTH-0627";"AFT-2019-003";"978-87-1218-706-6";"Online";"Klassiker";"B";"63768";"16/12/2019";"1885";"494.81";"0.2387";"222639.51";"DKK";"0.00";"6871"
"11180";"Salg";"AUTH-0627";"AFT-2019-003";"978-87-8322-101-0";"Lydbog";"Digital";"A";"51066";"10/11/2019";"31";"135.29";"0.0851";"356.91";"DKK";"0.00";"6871"
"11181";"Salg";"AUTH-0627";"AFT-2019-003";"978-87-6100-898-5";"E-bog";"Klassiker";"D";"57975";"04/12/2019";"1884";"486.35";"0.1462";"133960.63";"DKK";"0.00";"6871"
"11182";"Bonus";"AUTH-0627";"AFT-2019-003";"978-87-6140-384-1";"Boghandel";"Digital";"C";"83445";"09/01/2020";"1902";"211.66";"0.584";"235105.15";"DKK";"0.00";"6871"
"11183";"Forskud";"AUTH-0627";"AFT-2019-003";"978-87-4695-100-8";"Bibliotek";"Special";"B";"76494";"09/12/2019";"407";"447.25";"0.8841";"160933.39";"DKK";"0.00";"6871"
"11184";"Salg";"AUTH-0627";"AFT-2019-003";"978-87-9671-500-1";"Boghandel";"Indbundet";"C";"77661";"04/12/2019";"893";"276.26";"0.2294";"56593.02";"DKK";"0.00";"6871"
"11185";"Salg";"AUTH-0627";"AFT-2019-003";"978-87-6541-134-7";"Boghandel";"Standard";"A";"76137";"16/11/2019";"4";"489.61";"0.1583";"310.02";"DKK";"0.00";"6871"
"11186";"Salg";"AUTH-0627";"AFT-2019-003";"978-87-5836-683-8";"Subskription";"Klassiker";"D";"87189";"26/12/2019";"603";"345.18";"0.1256";"26142.83";"DKK";"0.00";"6871"
"11187";"Diverse";"AUTH-0627";"AFT-2019-003";"978-87-7083-868-9";"Lydbog";"Special";"B";"80964";"17/11/2019";"1138";"325.88";"0.1771";"65677.79";"DKK";"0.00";"6871"
"11188";"GarGlobal";"AUTH-0627";"AFT-2019-003";"978-87-1505-962-9";"E-bog";"Lydbog";"D";"74710";"09/12/2019";"744";"288.03";"0.0655";"14036.28";"DKK";"0.00";"6871"
"11189";"Salg";"AUTH-0627";"AFT-2019-003";"978-87-1265-789-7";"E-bog";"Klassiker";"B";"69839";"10/11/2019";"1145";"502.85";"0.0874";"50321.71";"DKK";"0.00";"6871"
